ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC75009AF,1,7400305966,1,1.0,M21,1,1.0,"0,01",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:21:45,PK03,VG2/3,VG2/3,PMC75009AF,1.0,False,True,False
PLB42293KL,0,7400844513,1,1.0,S23,1,200.0,"0,69",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 06:56:47,PM05,VG2/3,VG2/3,PLB42293KL,1.0,False,True,False
PMC75009AF,1,7400867182,1,1.0,M25,1,60.0,"0,01",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:18:30,PK03,VG2/3,VG2/3,PMC75009AF,1.0,False,True,False
PMC98116DL,0,7401229756,1,,S23,161,4344.0,"9,92",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,,,,,PMC98116DL,,True,False,False
PMC07638KL,0,7401233912,1,1.0,R21,1,74.0,"1,26",CPH,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 00:45:17,PK02,VG2/3,VG2/3,PMC07638KL,1.0,False,True,False
PMC07638KL,0,7401234365,1,2.0,R21,4,735.0,"4,4",AMS,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 00:43:25,PK02,VG2/3,VG2/3,PMC07638KL,1.0,False,True,False
PMC75009AF,1,7401234365,1,1.0,R21,4,735.0,"4,4",AMS,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:16:50,PK03,VG2/3,VG2/3,PMC75009AF,1.0,False,True,False
PMC07638KL,0,7401234365,1,3.0,R21,4,735.0,"4,4",AMS,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 00:43:25,PK02,VG2/3,VG2/3,PMC07638KL,1.0,False,True,False
PMC07638KL,0,7401234365,1,4.0,R21,4,735.0,"4,4",AMS,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 00:43:25,PK02,VG2/3,VG2/3,PMC07638KL,1.0,False,True,False
PMC75009AF,1,7401240190,1,,R21,8,1020.0,"6,12",LCJ,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,,,,,PMC75009AF,,True,False,False
PLB42293KL,0,7401240503,1,1.0,S23,12,163.0,"0,98",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 07:09:18,PM05,VG2/3,VG2/3,PLB42293KL,12.0,False,True,False
AKE30436DL,0,7401246081,1,1.0,S23,1,52.0,"0,31",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 07:12:48,PM04,VG2/3,VG2/3,AKE30436DL,1.0,False,True,False
PAG12312AF,3,7450533626,1,1.0,R21,1,80.0,"0,17",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 22:58:20,PM11,VG2/3,VG2/3,PAG12312AF,1.0,False,True,False
AKE30436DL,0,7460359714,1,1.0,M25,7,90.0,"0,29",SWK,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 07:13:38,PM04,VG2/3,VG2/3,AKE30436DL,7.0,False,True,False
PAG12312AF,3,7461002546,1,1.0,C01,1,136.0,"1,02",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 04:36:42,PM15,VG2/3,VG2/3,PAG12312AF,1.0,False,True,False
PMC75009AF,1,7462051776,1,1.0,R21,1,157.0,"0,52",CPH,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:13:47,PK03,VG2/3,VG2/3,PMC75009AF,1.0,False,True,False
AKE30436DL,0,7462326305,1,1.0,S51,1,68.0,"0,48",SWK,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 07:12:51,PM04,VG2/3,VG2/3,AKE30436DL,1.0,False,True,False
PAG12312AF,3,7462439856,1,1.0,R21,2,406.0,"2,43",PRG,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 22:58:55,PM11,VG2/3,VG2/3,PAG12312AF,1.0,False,True,False
PAG12312AF,3,7462439856,1,2.0,R21,2,406.0,"2,43",PRG,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:04:11,PM11,VG2/3,VG2/3,PAG12312AF,1.0,False,True,False
PMC86058DL,1,7463098604,1,,R21,5,554.0,"7,2",SWK,SFO,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,,,,,PMC86058DL,,True,False,False
PMC28739KL,1,7463315210,1,,R21,52,843.0,"9,28",BKK,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,,,,,PMC28739KL,,True,False,False
PMC07638KL,0,7463358805,1,,S75,1,15.0,"0,14",BUD,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,19-2-2024 06:57:14,DHT,VG1,VG1,PMC07638KL,,False,False,True
PMC28728KL,0,7463405720,1,,S76,7,828.0,"8,45",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,17-2-2024 21:09:31,DHEXP,VG1,VG1,PMC28728KL,,False,False,True
AKE97256KL,1,7463632214,1,,S23,119,462.0,"1,96",JRO,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,,,,,AKE97256KL,,True,False,False
PAG12312AF,3,7463887224,1,1.0,M21,1,5.0,"0,01",AMS,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:05:02,PM11,VG2/3,VG2/3,PAG12312AF,1.0,False,True,False
PMC75009AF,1,7463934662,1,1.0,R21,6,118.0,"0,67",DEL,LAX,KL,601,KL0601,2024-02-19,19-2-2024 09:58:00,19-2-2024 09:50:00,Aircraft,18-2-2024 23:20:42,PK03,VG2/3,VG2/3,PMC75009AF,6.0,False,True,False
