ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC01527MP,0,5749600983,1,1.0,R21,5,130.0,"0,11",DEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,8/1/2024 3:12,PK04,VG2/3,VG2/3,PMC01527MP,5.0,False,True,False
PMC70783AF,0,7400672302,1,1.0,R21,57,919.0,"5,6",DEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 22:33,PH04,VG2/3,VG2/3,PMC70783AF,18.0,False,True,False
PMC33012KL,0,7400672302,1,4.0,R21,57,919.0,"5,6",DEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 20:05,PL04,VG2/3,VG2/3,PMC33012KL,9.0,False,True,False
PMC22413MP,0,7400672302,1,2.0,R21,57,919.0,"5,6",DEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 22:51,PH03,VG2/3,VG2/3,PMC22413MP,18.0,False,True,False
PMC33012KL,0,7400672302,1,3.0,R21,57,919.0,"5,6",DEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 20:05,PL04,VG2/3,VG2/3,PMC33012KL,12.0,False,True,False
PMC63904AF,2,7400672781,1,,R21,4,528.0,"3,82",HEL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,,,,,PMC63904AF,,True,False,False
PMC22413MP,0,7400673120,1,2.0,R21,3,1848.0,"4,36",OSL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 22:51,PH03,VG2/3,VG2/3,PMC22413MP,1.0,False,True,False
PMC70783AF,0,7400673120,1,1.0,R21,3,1848.0,"4,36",OSL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 22:23,PH04,VG2/3,VG2/3,PMC70783AF,1.0,False,True,False
PMC22413MP,0,7400673120,1,3.0,R21,3,1848.0,"4,36",OSL,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,7/1/2024 22:51,PH03,VG2/3,VG2/3,PMC22413MP,1.0,False,True,False
PMC66813AF,0,7400674273,1,,S23,161,4155.0,"9,92",AMS,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,,,,,PMC66813AF,,True,False,False
PMC01527MP,0,7401068196,1,1.0,S24,3,783.0,"3,58",AMS,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,8/1/2024 4:31,PK04,VG2/3,VG2/3,PMC01527MP,1.0,False,True,False
PMC01527MP,0,7401068196,1,2.0,S24,3,783.0,"3,58",AMS,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,8/1/2024 4:31,PK04,VG2/3,VG2/3,PMC01527MP,1.0,False,True,False
PMC01527MP,0,7401068196,1,3.0,S24,3,783.0,"3,58",AMS,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,8/1/2024 4:31,PK04,VG2/3,VG2/3,PMC01527MP,1.0,False,True,False
PAG11770AF,0,7401082071,1,1.0,M21,4,5.0,"0,03",AMS,LAX,KL,601,KL0601,2024-01-08,8/1/2024 9:53,8/1/2024 9:50,Aircraft,8/1/2024 6:15,PK01,VG2/3,VG2/3,PAG11770AF,4.0,False,True,False
