BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
22-1-2024 10:06:16,57,6618684,5706618684,BLL,LAX,A,2.41,MC,173.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18220766,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,2.41,173.0,1.0,1.0,2.0,2.41,,1.0,True,True,2.41,173.0,123.0,134.0,146.0,True
22-1-2024 10:06:16,57,6618684,5706618684,BLL,LAX,A,2.41,MC,173.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18220766,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,2.41,173.0,1.0,1.0,1.0,2.41,173.0,1.0,True,True,2.41,173.0,,,,False
22-1-2024 10:06:16,74,712412,7400712412,AMS,LAX,A,4.2,MC,762.0,K,61.0,S24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18207801,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,4.2,762.0,61.0,1.0,1.0,0.07,12.49,61.0,True,True,0.07,12.49,,,,False
22-1-2024 10:06:16,74,712412,7400712412,AMS,LAX,A,4.2,MC,762.0,K,61.0,S24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18207801,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,4.2,762.0,61.0,1.0,2.0,0.07,,70.0,True,True,0.07,,32.0,39.0,53.0,True
22-1-2024 10:06:16,74,718826,7400718826,AMS,LAX,A,0.04,MC,14.0,K,1.0,S24,PLNT,AMS,FFM,False,False,True,False,False,False,False,False,18208578,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,0.04,14.0,1.0,1.0,1.0,0.04,14.0,1.0,True,True,0.04,14.0,,,,False
22-1-2024 10:06:16,74,745964,7400745964,AMS,LAX,A,0.01,MC,0.6,K,1.0,M21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18271677,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,0.01,0.6,1.0,1.0,1.0,0.01,0.6,1.0,True,True,0.01,0.6,,,,False
23-1-2024 07:03:00,74,746745,7400746745,STR,LAS,A,4.86,MC,672.0,K,3.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,False,18264252,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,4.86,672.0,3.0,1.0,1.0,1.62,224.0,3.0,True,True,1.62,224.0,,,,False
23-1-2024 07:03:00,74,746745,7400746745,STR,LAS,A,4.86,MC,672.0,K,3.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,False,18264252,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,4.86,672.0,3.0,1.0,2.0,1.62,,3.0,True,True,1.62,224.0,150.0,80.0,135.0,True
22-1-2024 10:06:16,74,1091952,7401091952,MAD,LAX,A,1.06,MC,435.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18211122,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,1.06,435.0,1.0,1.0,1.0,1.06,435.0,1.0,True,True,1.06,435.0,,,,False
22-1-2024 10:06:16,74,1091952,7401091952,MAD,LAX,A,1.06,MC,435.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18211122,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,1.06,435.0,1.0,1.0,2.0,1.54,,1.0,True,True,1.54,435.0,160.0,80.0,120.0,True
22-1-2024 10:06:16,74,1094435,7401094435,OSL,LAX,A,10.18,MC,3671.9,K,159.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18214130,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,10.18,3672.0,159.0,1.0,1.0,0.06,23.09,159.0,True,True,0.06,23.09,,,,False
22-1-2024 10:06:16,74,1102010,7401102010,AMS,LAX,A,3.12,MC,900.0,K,2.0,S20,BULB,AMS,FFM,False,False,False,False,False,False,False,False,18221517,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,3.12,900.0,2.0,1.0,1.0,1.56,450.0,2.0,True,True,1.56,450.0,,,,False
22-1-2024 10:06:16,74,1102010,7401102010,AMS,LAX,A,3.12,MC,900.0,K,2.0,S20,BULB,AMS,FFM,False,False,False,False,False,False,False,False,18221517,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,3.12,900.0,2.0,1.0,2.0,1.56,,2.0,True,True,1.56,450.0,130.0,100.0,120.0,True
22-1-2024 10:06:16,74,1106184,7401106184,AMS,LAX,A,3.51,MC,907.0,K,3.0,S20,BULB,AMS,FFM,False,False,False,False,False,False,False,False,18226742,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,3.51,907.0,3.0,1.0,2.0,1.84,,2.0,True,True,1.84,,153.0,100.0,120.0,True
22-1-2024 10:06:16,74,1106184,7401106184,AMS,LAX,A,3.51,MC,907.0,K,3.0,S20,BULB,AMS,FFM,False,False,False,False,False,False,False,False,18226742,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,3.51,907.0,3.0,1.0,1.0,1.17,302.33,3.0,True,True,1.17,302.33,,,,False
22-1-2024 10:06:16,74,1118946,7401118946,SWK,LAX,A,2.57,MC,760.5,K,39.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18246218,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,2.57,760.5,39.0,1.0,2.0,0.07,,39.0,True,True,0.07,19.5,20.0,20.0,165.0,True
22-1-2024 10:06:16,74,1118946,7401118946,SWK,LAX,A,2.57,MC,760.5,K,39.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18246218,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,2.57,760.5,39.0,1.0,1.0,0.07,19.5,39.0,True,True,0.07,19.5,,,,False
23-1-2024 07:03:00,74,1119871,7401119871,FRA,LAS,A,1.15,MC,166.0,K,1.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,True,18247140,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,1.15,166.0,1.0,1.0,2.0,1.15,,1.0,True,True,1.15,166.0,120.0,80.0,120.0,True
23-1-2024 07:03:00,74,1119871,7401119871,FRA,LAS,A,1.15,MC,166.0,K,1.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,True,18247140,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,1.15,166.0,1.0,1.0,1.0,1.15,166.0,1.0,True,True,1.15,166.0,,,,False
22-1-2024 10:06:16,74,1123776,7401123776,CGN,LAX,A,0.77,MC,170.0,K,2.0,R21,CNSL,AMS,FFM,False,False,False,False,False,False,False,False,18251299,KL,601,KL0601,,AMS,LAX,21-1-2024,2024-01-22,0.77,170.0,2.0,1.0,2.0,0.38,,2.0,True,True,0.38,85.0,40.0,80.0,120.0,True
