FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-29|AMS|KL|0601||2024-01-29|D|153364867|161062683,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,376,KG,B,F,21.0,ULD,AKE95178KL,554.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153364867,161062683,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364867|161062684,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,91,KG,B,T,5.0,ULD,AKE95178KL,554.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153364867,161062684,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364867|161062685,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,D,,1.0,ULD,AKE95178KL,554.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153364867,161062685,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364867|161062686,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,12,KG,B,G,1.0,ULD,AKE95178KL,554.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153364867,161062686,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364868|161062687,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,423,KG,B,Y,24.0,ULD,AKE95970KL,480.0,57.0,16-2-2024 17:02:55,AFT,41L,L,153364868,161062687,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364869|161062675,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,724,KG,B,Y,41.0,ULD,AKE97890KL,815.0,57.0,16-2-2024 17:02:55,AFT,34R,L,153364869,161062675,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364869|161062676,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,34,KG,B,B,2.0,ULD,AKE97890KL,815.0,57.0,16-2-2024 17:02:55,AFT,34R,L,153364869,161062676,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364870|161062674,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,694,KG,B,T,38.0,ULD,AKE70257KL,751.0,57.0,16-2-2024 17:02:55,AFT,34L,L,153364870,161062674,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364871|161062678,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,156,KG,B,B,9.0,ULD,AKE95550KL,813.0,57.0,16-2-2024 17:02:55,AFT,35R,L,153364871,161062678,,
2024-01-29|AMS|KL|0601||2024-01-29|D|153364871|161062679,2024-01-29|KL|0601||AMS,ACTIVE,AMS,LAX,600,KG,B,Y,34.0,ULD,AKE95550KL,813.0,57.0,16-2-2024 17:02:55,AFT,35R,L,153364871,161062679,,
