BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
5/3/2024 10:46,57,49648922,5749648922,BOM,LAX,A,0.35,MC,108.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18463433,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,0.35,108.0,4.0,1.0,2.0,0.09,,4.0,True,True,0.09,27.0,60.0,38.0,38.0,True
5/3/2024 10:46,57,49648922,5749648922,BOM,LAX,A,0.35,MC,108.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18463433,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,0.35,108.0,4.0,1.0,1.0,0.09,27.0,4.0,True,True,0.09,27.0,,,,False
5/3/2024 14:35,57,72117216,5772117216,SWK,LAX,A,3.52,MC,638.0,K,18.0,R21,BOAT,AMS,FWB,False,False,False,False,False,False,False,False,18457508,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,3.49,637.8,18.0,,,,,,,,,,,,,
6/3/2024 23:45,57,88901665,5788901665,NBO,LAX,A,24.71,MC,2020.0,K,1030.0,R21,TEXT,AMS,FPLN,False,False,False,False,False,False,False,False,18490700,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,10.6,866.8,442.0,,,,,,,,,,,,,
5/3/2024 10:46,74,1270496,7401270496,AMS,LAX,A,9.22,MC,3015.0,K,6.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18480153,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,9.22,3015.0,6.0,1.0,2.0,1.15,,6.0,True,True,1.15,502.5,160.0,60.0,120.0,True
5/3/2024 10:46,74,1270496,7401270496,AMS,LAX,A,9.22,MC,3015.0,K,6.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18480153,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,9.22,3015.0,6.0,1.0,1.0,1.54,502.5,6.0,True,True,1.54,502.5,,,,False
5/3/2024 10:46,74,1290354,7401290354,FRA,LAX,A,0.79,MC,44.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451317,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,0.79,44.0,1.0,1.0,2.0,0.79,,1.0,True,True,0.79,44.0,60.0,110.0,120.0,True
5/3/2024 10:46,74,1290354,7401290354,FRA,LAX,A,0.79,MC,44.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18451317,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,0.79,44.0,1.0,1.0,1.0,0.79,44.0,1.0,True,True,0.79,44.0,,,,False
6/3/2024 4:12,74,1293132,7401293132,DUS,PHX,A,1.65,MC,140.0,K,1.0,R21,GENE,LAX,FFM,False,False,False,False,False,False,False,False,18453492,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,1.65,140.0,1.0,1.0,1.0,1.65,140.0,1.0,True,True,1.65,140.0,,,,False
5/3/2024 10:46,74,1303385,7401303385,AMS,LAX,A,1.06,MC,73.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18463148,KL,601,KL0601,,AMS,LAX,4/3/2024,2024-03-05,1.06,73.0,1.0,1.0,1.0,1.06,73.0,1.0,True,True,1.06,73.0,,,,False
