ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AAP60382KL,1,5750729276,1,1.0,M25,1,50.0,"1,02",BKK,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 6:53,PK05,VG2/3,VG2/3,AAP60382KL,1.0,False,True,False
PMC72916AF,0,7401288136,1,1.0,S23,3,1590.0,"3,95",AMS,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 3:39,PM01,VG2/3,VG2/3,PMC72916AF,1.0,False,True,False
PMC72916AF,0,7401288136,1,2.0,S23,3,1590.0,"3,95",AMS,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 3:39,PM01,VG2/3,VG2/3,PMC72916AF,1.0,False,True,False
PMC72916AF,0,7401288136,1,3.0,S23,3,1590.0,"3,95",AMS,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 3:39,PM01,VG2/3,VG2/3,PMC72916AF,1.0,False,True,False
PMC76135AF,1,7447538116,1,,R21,217,1671.0,"14,1",BLR,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,,,,,PMC76135AF,,True,False,False
PMC72916AF,0,7447541664,1,1.0,R21,2,253.0,"1,74",CDG,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,6/3/2024 10:39,,,,PMC72916AF,1.0,False,False,False
PMC72916AF,0,7447541664,1,2.0,R21,2,253.0,"1,74",CDG,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,6/3/2024 10:39,,,,PMC72916AF,1.0,False,False,False
PMC72916AF,0,7452708191,1,1.0,M21,1,1.2,"0,01",HAM,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 3:25,PM01,VG2/3,VG2/3,PMC72916AF,1.0,False,True,False
AAP60382KL,1,7461885084,1,,R21,2,332.0,"2,12",CPT,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,,,,,AAP60382KL,,True,False,False
AAP60382KL,1,7463817316,1,1.0,R21,1,86.0,"1,21",BOM,LAX,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 6:59,PK05,VG2/3,VG2/3,AAP60382KL,1.0,False,True,False
PMC72916AF,0,7463827621,1,1.0,R21,4,150.0,"0,58",AMS,SFO,KL,601,KL0601,2024-03-07,7/3/2024 9:50,7/3/2024 9:50,Aircraft,7/3/2024 3:15,PM01,VG2/3,VG2/3,PMC72916AF,4.0,False,True,False
