FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-14|AMS|KL|0601||2024-03-14|D|155181197|162990044,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,49,KG,B,Y,3.0,ULD,AKE96370KL,325.0,57.0,15-3-2024 04:27:39,AFT,44L,L,155181197,162990044,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181197|162990045,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,58,KG,B,T,3.0,ULD,AKE96370KL,325.0,57.0,15-3-2024 04:27:39,AFT,44L,L,155181197,162990045,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181197|162990046,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,161,KG,B,F,9.0,ULD,AKE96370KL,325.0,57.0,15-3-2024 04:27:39,AFT,44L,L,155181197,162990046,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181198|162990036,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,380,KG,B,T,20.0,ULD,AKE96621KL,437.0,57.0,15-3-2024 04:27:39,AFT,41L,L,155181198,162990036,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181199|162990047,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,311,KG,B,Y,19.0,ULD,AKE70253KL,368.0,57.0,15-3-2024 04:27:39,AFT,44R,L,155181199,162990047,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181200|162990048,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,48,KG,B,B,3.0,ULD,AKE97645KL,793.0,57.0,15-3-2024 04:27:39,AFT,45R,L,155181200,162990048,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181200|162990049,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,688,KG,B,Y,42.0,ULD,AKE97645KL,793.0,57.0,15-3-2024 04:27:39,AFT,45R,L,155181200,162990049,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181201|162990039,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,152,KG,B,T,8.0,ULD,AKE96891KL,782.0,57.0,15-3-2024 04:27:39,AFT,43L,L,155181201,162990039,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181201|162990040,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,519,KG,B,F,29.0,ULD,AKE96891KL,782.0,57.0,15-3-2024 04:27:39,AFT,43L,L,155181201,162990040,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181201|162990041,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,54,KG,D,,3.0,ULD,AKE96891KL,782.0,57.0,15-3-2024 04:27:39,AFT,43L,L,155181201,162990041,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181202|162990038,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,475,KG,B,Y,29.0,ULD,AKE98162KL,532.0,57.0,15-3-2024 04:27:39,AFT,42L,L,155181202,162990038,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181203|162990042,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,591,KG,B,F,33.0,ULD,AKE97833KL,702.0,57.0,15-3-2024 04:27:39,AFT,43R,L,155181203,162990042,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181203|162990043,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,54,KG,D,,3.0,ULD,AKE97833KL,702.0,57.0,15-3-2024 04:27:39,AFT,43R,L,155181203,162990043,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181204|162990037,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,524,KG,B,Y,32.0,ULD,AKE70114KL,581.0,57.0,15-3-2024 04:27:39,AFT,41R,L,155181204,162990037,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181205|162967074,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,G,0.0,BLK,,,,15-3-2024 04:27:39,BLK,51,L,155181205,162967074,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181206|162967075,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,B,0.0,BLK,,,,15-3-2024 04:27:39,BLK,51,L,155181206,162967075,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181207|162967076,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,116,KG,B,Y,7.0,BLK,,,,15-3-2024 04:27:39,BLK,51,L,155181207,162967076,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181208|162967077,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,18,KG,B,F,1.0,BLK,,,,15-3-2024 04:27:39,BLK,51,L,155181208,162967077,,
2024-03-14|AMS|KL|0601||2024-03-14|D|155181209|162967078,2024-03-14|KL|0601||AMS,ACTIVE,AMS,LAX,0,KG,B,T,0.0,BLK,,,,15-3-2024 04:27:39,BLK,51,L,155181209,162967078,,
