ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE29089DL,0,5750255472,1,1.0,R21,3,813.0,"1,53",LNZ,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:31:03,PK05,VG2/3,VG2/3,AKE29089DL,1.0,False,True,False
AKE29089DL,0,5750255472,1,2.0,R21,3,813.0,"1,53",LNZ,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:31:03,PK05,VG2/3,VG2/3,AKE29089DL,1.0,False,True,False
AKE29089DL,0,5750255472,1,3.0,R21,3,813.0,"1,53",LNZ,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:31:03,PK05,VG2/3,VG2/3,AKE29089DL,1.0,False,True,False
PAG80882DL,0,7400905015,1,1.0,S23,1,348.0,"1,54",QFA,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,1/4/2024 0:26,PK01,VG2/3,VG2/3,PAG80882DL,1.0,False,True,False
PAG80882DL,0,7401452124,1,1.0,R21,1,193.0,"1,44",FRA,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,1/4/2024 0:29,PK01,VG2/3,VG2/3,PAG80882DL,1.0,False,True,False
AKY15089DL,0,7401463162,1,1.0,R21,6,1105.2,"4,43",KRK,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:44:53,PK05,VG2/3,VG2/3,AKY15089DL,2.0,False,True,False
PAG80882DL,0,7401463162,1,2.0,R21,6,1105.2,"4,43",KRK,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,1/4/2024 0:31,PK01,VG2/3,VG2/3,PAG80882DL,2.0,False,True,False
AKY15089DL,0,7401463162,1,3.0,R21,6,1105.2,"4,43",KRK,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:23:27,PK05,VG2/3,VG2/3,AKY15089DL,1.0,False,True,False
AKE30383DL,0,7401463162,1,4.0,R21,6,1105.2,"4,43",KRK,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,31-3-2024 23:42:50,PK03,VG2/3,VG2/3,AKE30383DL,1.0,False,True,False
PMC94407DL,2,7401464643,1,,R21,4,557.0,"3,34",FRA,SFO,KL,605,KL0605,2024-04-01,1/4/2024 9:55,1/4/2024 9:50,Aircraft,,,,,PMC94407DL,,True,False,False
