FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-04-01|AMS|KL|0605||2024-04-01|D|155910283|163741177,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,502,KG,B,F,32.0,ULD,AKE96778KL,674.0,57.0,2/4/2024 4:30,FWD,14R,L,155910283,163741177,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910283|163765830,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,115,KG,B,Y,7.0,ULD,AKE96778KL,674.0,57.0,2/4/2024 4:30,FWD,14R,L,155910283,163765830,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910284|163741179,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,729,KG,B,Y,44.0,ULD,AKE97744KL,786.0,57.0,2/4/2024 4:30,FWD,21L,L,155910284,163741179,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910285|163741180,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,381,KG,B,Y,23.0,ULD,AKE97909KL,726.0,57.0,2/4/2024 4:30,FWD,22R,L,155910285,163741180,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910285|163765831,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,288,KG,B,B,16.0,ULD,AKE97909KL,726.0,57.0,2/4/2024 4:30,FWD,22R,L,155910285,163765831,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910286|163741181,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,662,KG,B,Y,40.0,ULD,AKE70208KL,719.0,57.0,2/4/2024 4:30,FWD,21R,L,155910286,163741181,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910287|163741182,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,530,KG,B,Y,32.0,ULD,AKE95439KL,623.0,57.0,2/4/2024 4:30,FWD,15R,L,155910287,163741182,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910287|163765832,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,36,KG,B,B,2.0,ULD,AKE95439KL,623.0,57.0,2/4/2024 4:30,FWD,15R,L,155910287,163765832,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910289|163741184,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,629,KG,B,Y,38.0,ULD,AKE96035KL,686.0,57.0,2/4/2024 4:30,FWD,15L,L,155910289,163741184,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910290|163741185,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,251,KG,B,F,16.0,ULD,AKE97292KL,693.0,57.0,2/4/2024 4:30,FWD,14L,L,155910290,163741185,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910290|163750911,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,265,KG,B,Y,16.0,ULD,AKE97292KL,693.0,57.0,2/4/2024 4:30,FWD,14L,L,155910290,163750911,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910290|163765833,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,120,KG,B,T,6.0,ULD,AKE97292KL,693.0,57.0,2/4/2024 4:30,FWD,14L,L,155910290,163765833,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910291|163741186,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,G,0.0,BLK,,,,1/4/2024 4:28,BLK,51,L,155910291,163741186,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910292|163741187,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,B,0.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155910292,163741187,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910293|163741188,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,T,0.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155910293,163741188,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910294|163741189,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,185,KG,B,Y,11.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155910294,163741189,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155910295|163741190,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,158,KG,B,F,10.0,BLK,,,,2/4/2024 4:30,BLK,51,L,155910295,163741190,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155925996|163757630,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,427,KG,C,,,ULD,AKE30383DL,540.0,113.0,2/4/2024 4:30,FWD,22L,L,155925996,163757630,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155925997|163757631,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,767,KG,C,,,ULD,AKE29089DL,880.0,113.0,2/4/2024 4:30,FWD,23R,L,155925997,163757631,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155925998|163757632,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,387,KG,C,,,ULD,AKY15089DL,455.0,68.0,2/4/2024 4:30,FWD,23L,L,155925998,163757632,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155925999|163757633,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,135,KG,C,,,ULD,PMC28652KL,260.0,125.0,2/4/2024 4:30,FWD,12P,L,155925999,163757633,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155926000|163757634,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,170,KG,C,,,ULD,PMC03035DL,290.0,120.0,2/4/2024 4:30,FWD,24P,L,155926000,163757634,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155926001|163757635|19431019,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,1277,KG,C,,,ULD,PAG80882DL,1370.0,93.0,2/4/2024 4:30,FWD,23P,L,155926001,163757635,19431019.0,COL
2024-04-01|AMS|KL|0605||2024-04-01|D|155926002|163757636,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,175,KG,C,,,ULD,PMC94722DL,295.0,120.0,2/4/2024 4:30,FWD,11P,L,155926002,163757636,,
2024-04-01|AMS|KL|0605||2024-04-01|D|155926003|163757637|19431020,2024-04-01|KL|0605||AMS,ACTIVE,AMS,SFO,890,KG,C,,,ULD,PMC96054DL,1010.0,120.0,2/4/2024 4:30,AFT,43P,L,155926003,163757637,19431020.0,RMD
