ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC28850KL,1,5749152585,1,,R21,10,3919.0,"13,51",DWC,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,,,,,PMC28850KL,,True,False,False
RKN21222PC,0,5749306261,1,1.0,R21,12,218.0,"0,3",DEL,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,8/2/2024 1:35,PK01,VG2/3,VG2/3,RKN21222PC,12.0,False,True,False
PMC32517KL,0,7401151835,1,1.0,S23,1,380.0,"1,42",AMS,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,8/2/2024 6:07,PG02,VG2/3,VG2/3,PMC32517KL,1.0,False,True,False
PMC61999AF,0,7401168495,1,1.0,R21,1,547.0,"1,21",NTE,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:34,,,,PMC61999AF,1.0,False,False,False
PMC61999AF,0,7401175786,1,1.0,R21,1,80.0,"0,39",HAJ,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:33,,,,PMC61999AF,1.0,False,False,False
PMC61999AF,0,7401178892,1,1.0,R21,3,525.0,"1,62",AMS,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:33,,,,PMC61999AF,3.0,False,False,False
PMC32517KL,0,7401180270,1,2.0,R21,1,162.0,"2,67",CPH,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,4/2/2024 9:05,TV22,Unknown,Unknown,PMC32517KL,1.0,False,False,False
PMC32517KL,0,7401180270,1,1.0,R21,1,162.0,"2,67",CPH,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,4/2/2024 9:05,TV22,Unknown,Unknown,PMC32517KL,1.0,False,False,False
PMC32517KL,0,7462926496,1,1.0,M25,1,40.0,"0,43",AMS,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,8/2/2024 6:06,PG02,VG2/3,VG2/3,PMC32517KL,1.0,False,True,False
PMC61999AF,0,7463118274,1,,S75,1,7.0,"0,1",AMS,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,8/2/2024 5:39,DHT,VG1,VG1,PMC61999AF,,False,False,True
PMC28687KL,0,7463219214,1,1.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 14:39,PG03,VG2/3,VG2/3,PMC28687KL,1.0,False,True,False
PMC28687KL,0,7463219214,1,2.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 14:39,PG03,VG2/3,VG2/3,PMC28687KL,1.0,False,True,False
PMC28687KL,0,7463219214,1,3.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 14:39,PG03,VG2/3,VG2/3,PMC28687KL,1.0,False,True,False
PMC28687KL,0,7463219214,1,4.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 14:39,PG03,VG2/3,VG2/3,PMC28687KL,1.0,False,True,False
PMC28687KL,0,7463219214,1,5.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 14:39,PG03,VG2/3,VG2/3,PMC28687KL,1.0,False,True,False
PMC61999AF,0,7463219214,1,6.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:34,,,,PMC61999AF,1.0,False,False,False
PMC61999AF,0,7463219214,1,7.0,R21,7,1171.0,"11,51",AMS,LAX,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:34,,,,PMC61999AF,1.0,False,False,False
PMC61999AF,0,7463240531,1,1.0,R21,1,145.0,"0,76",BLL,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,6/2/2024 15:35,,,,PMC61999AF,1.0,False,False,False
RKN22166PC,0,7463358632,1,1.0,S20,24,633.0,"1,06",BUD,SFO,KL,605,KL0605,2024-02-08,8/2/2024 9:59,8/2/2024 10:00,Aircraft,8/2/2024 1:18,PK01,VG2/3,VG2/3,RKN22166PC,8.0,False,True,False
