FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-24|AMS|KL|0605||2024-02-24|D|154406636|162170300,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,510,KG,B,Y,33.0,ULD,AKE98025KL,567.0,57.0,25-2-2024 05:10:53,AFT,42R,L,154406636,162170300,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406637|162170299,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,325,KG,B,F,20.0,ULD,AKE97958KL,382.0,57.0,25-2-2024 05:10:53,AFT,42L,L,154406637,162170299,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406638|162170302,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,36,KG,D,,2.0,ULD,AKE95223KL,760.0,57.0,25-2-2024 05:10:53,AFT,43R,L,154406638,162170302,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406638|162170303,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,667,KG,B,F,41.0,ULD,AKE95223KL,760.0,57.0,25-2-2024 05:10:53,AFT,43R,L,154406638,162170303,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406639|162170304,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,649,KG,B,Y,42.0,ULD,AKE95624KL,706.0,57.0,25-2-2024 05:10:53,AFT,44L,L,154406639,162170304,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406640|162170305,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,633,KG,B,Y,41.0,ULD,AKE94698KL,690.0,57.0,25-2-2024 05:10:53,AFT,44R,L,154406640,162170305,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406641|162170301,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,664,KG,B,Y,43.0,ULD,AKE96107KL,721.0,57.0,25-2-2024 05:10:53,AFT,43L,L,154406641,162170301,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406643|162145493,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,G,0.0,BLK,,,,25-2-2024 05:10:53,BLK,51,L,154406643,162145493,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406644|162145494,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,T,0.0,BLK,,,,25-2-2024 05:10:53,BLK,51,L,154406644,162145494,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406645|162145495,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,49,KG,B,F,3.0,BLK,,,,25-2-2024 05:10:53,BLK,51,L,154406645,162145495,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406646|162145496,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,79,KG,B,Y,5.0,BLK,,,,25-2-2024 05:10:53,BLK,51,L,154406646,162145496,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154406647|162145497,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,B,0.0,BLK,,,,25-2-2024 05:10:53,BLK,51,L,154406647,162145497,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154422073|162161694|19277903,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,3885,KG,E,,,ULD,PMC65182KL,4010.0,125.0,25-2-2024 05:10:53,FWD,12P,L,154422073,162161694,19277903.0,BAL
2024-02-24|AMS|KL|0605||2024-02-24|D|154423691|162163351,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,313,KG,C,,,ULD,AKE95733KL,370.0,57.0,25-2-2024 05:10:53,AFT,45R,L,154423691,162163351,,
2024-02-24|AMS|KL|0605||2024-02-24|D|154423692|162163352|19278000,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,398,KG,C,,,ULD,AKE95815KL,455.0,57.0,25-2-2024 05:10:53,AFT,45L,L,154423692,162163352,19278000.0,PES
2024-02-24|AMS|KL|0605||2024-02-24|D|154423693|162163353|19278001,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,1780,KG,C,,,ULD,PMC60770AF,1890.0,110.0,25-2-2024 05:10:53,AFT,32P,L,154423693,162163353,19278001.0,OHG
2024-02-24|AMS|KL|0605||2024-02-24|D|154423694|162163354|19278002,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,1825,KG,C,,,ULD,PMC22120MP,1950.0,125.0,25-2-2024 05:10:53,AFT,33P,L,154423694,162163354,19278002.0,OHG
2024-02-24|AMS|KL|0605||2024-02-24|D|154423695|162163355,2024-02-24|KL|0605||AMS,ACTIVE,AMS,SFO,952,KG,C,,,ULD,PMC23305FX,1070.0,118.0,25-2-2024 05:10:53,AFT,31P,L,154423695,162163355,,
