FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-16|AMS|KL|0605||2024-01-16|D|152854558|160520932,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,722,KG,B,B,41.0,ULD,AKE97196KL,779.0,57.0,16-2-2024 17:02:55,FWD,21L,L,152854558,160520932,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854559|160520933,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,37,KG,B,Y,2.0,ULD,AKE96302KL,606.0,57.0,16-2-2024 17:02:55,FWD,21R,L,152854559,160520933,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854559|160520934,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,512,KG,B,B,29.0,ULD,AKE96302KL,606.0,57.0,16-2-2024 17:02:55,FWD,21R,L,152854559,160520934,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854560|160520924,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,52,KG,B,F,3.0,ULD,AKE97308KL,109.0,57.0,16-2-2024 17:02:55,FWD,13L,L,152854560,160520924,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854561|160520927,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,388,KG,B,F,22.0,ULD,AKE70081KL,463.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152854561,160520927,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854561|160520928,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,18,KG,D,,1.0,ULD,AKE70081KL,463.0,57.0,16-2-2024 17:02:55,FWD,14R,L,152854561,160520928,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854562|160520929,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,687,KG,B,Y,39.0,ULD,AKE97456KL,744.0,57.0,16-2-2024 17:02:55,FWD,15L,L,152854562,160520929,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854563|160520930,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,740,KG,B,Y,42.0,ULD,AKE98046KL,867.0,57.0,16-2-2024 17:02:55,FWD,15R,L,152854563,160520930,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854563|160520931,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,70,KG,B,B,4.0,ULD,AKE98046KL,867.0,57.0,16-2-2024 17:02:55,FWD,15R,L,152854563,160520931,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854564|160520925,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,617,KG,B,Y,35.0,ULD,AKE95236KL,691.0,57.0,16-2-2024 17:02:55,FWD,14L,L,152854564,160520925,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854564|160520926,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,17,KG,B,B,1.0,ULD,AKE95236KL,691.0,57.0,16-2-2024 17:02:55,FWD,14L,L,152854564,160520926,,
2024-01-16|AMS|KL|0605||2024-01-16|D|152854565|160520921,2024-01-16|KL|0605||AMS,ACTIVE,AMS,SFO,102,KG,B,T,5.0,ULD,AKE97722KL,159.0,57.0,16-2-2024 17:02:55,FWD,12L,L,152854565,160520921,,
