ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE95679KL,0,7400717942,1,1.0,R21,1,124.0,"0,01",OTP,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 03:47:12,PG01,VG2/3,VG2/3,AKE95679KL,1.0,False,True,False
PMC66416AF,0,7401093735,1,1.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:03,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC66416AF,0,7401093735,1,2.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:04,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC66416AF,0,7401093735,1,3.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:05,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC66416AF,0,7401093735,1,4.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:06,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC66416AF,0,7401093735,1,5.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:06,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC66416AF,0,7401093735,1,6.0,S23,6,2700.0,"6,75",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 00:56:06,PH01,VG2/3,VG2/3,PMC66416AF,1.0,False,True,False
PMC76481AF,0,7401102091,1,1.0,S23,150,2913.0,"4,5",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 03:45:52,PG02,VG2/3,VG2/3,PMC76481AF,30.0,False,True,False
PMC76481AF,0,7401102091,1,2.0,S23,150,2913.0,"4,5",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 03:45:52,PG02,VG2/3,VG2/3,PMC76481AF,30.0,False,True,False
PMC76481AF,0,7401102091,1,3.0,S23,150,2913.0,"4,5",AMS,SFO,KL,605,KL0605,2024-01-20,20-1-2024 11:11:00,20-1-2024 10:00:00,Aircraft,20-1-2024 03:45:52,PG02,VG2/3,VG2/3,PMC76481AF,30.0,False,True,False
