FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-02|AMS|KL|0605||2024-03-02|D|154698786|162479332,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,315,KG,B,F,19.0,ULD,AKE95139KL,555.0,57.0,3/3/2024 4:29,AFT,42L,L,154698786,162479332,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698786|162479333,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,183,KG,B,Y,11.0,ULD,AKE95139KL,555.0,57.0,3/3/2024 4:29,AFT,42L,L,154698786,162479333,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698787|162478920,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,496,KG,B,F,30.0,ULD,AKE97544KL,683.0,57.0,3/3/2024 4:29,AFT,42R,L,154698787,162478920,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698787|162478921,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,90,KG,D,,5.0,ULD,AKE97544KL,683.0,57.0,3/3/2024 4:29,AFT,42R,L,154698787,162478921,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698787|162478922,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,40,KG,B,T,2.0,ULD,AKE97544KL,683.0,57.0,3/3/2024 4:29,AFT,42R,L,154698787,162478922,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698788|162478918,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,683,KG,B,Y,41.0,ULD,AKE96714KL,740.0,57.0,3/3/2024 4:29,AFT,41L,L,154698788,162478918,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698789|162479310,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,595,KG,B,F,36.0,ULD,AKE97812KL,652.0,57.0,3/3/2024 4:29,AFT,43R,L,154698789,162479310,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698790|162479309,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,716,KG,B,Y,43.0,ULD,AKE70197KL,773.0,57.0,3/3/2024 4:29,AFT,43L,L,154698790,162479309,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698791|162478919,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,666,KG,B,Y,40.0,ULD,AKE97009KL,723.0,57.0,3/3/2024 4:29,AFT,41R,L,154698791,162478919,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698792|162478916,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,449,KG,B,Y,27.0,ULD,AKE96482KL,674.0,57.0,3/3/2024 4:29,AFT,34R,L,154698792,162478916,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698792|162478917,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,168,KG,B,B,9.0,ULD,AKE96482KL,674.0,57.0,3/3/2024 4:29,AFT,34R,L,154698792,162478917,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698793|162455028,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,G,0.0,BLK,,,,3/3/2024 4:29,BLK,51,L,154698793,162455028,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698794|162455029,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,B,0.0,BLK,,,,3/3/2024 4:29,BLK,51,L,154698794,162455029,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698795|162455030,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,T,0.0,BLK,,,,3/3/2024 4:29,BLK,51,L,154698795,162455030,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698796|162455031,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,0,KG,B,F,0.0,BLK,,,,3/3/2024 4:29,BLK,51,L,154698796,162455031,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154698797|162455032,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,18,KG,B,Y,1.0,BLK,,,,3/3/2024 4:29,BLK,51,L,154698797,162455032,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154717959|162475104,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,358,KG,C,,,ULD,AKE97777KL,415.0,57.0,3/3/2024 4:29,FWD,14R,L,154717959,162475104,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154717960|162475105,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,558,KG,C,,,ULD,AKE96403KL,615.0,57.0,3/3/2024 4:29,AFT,34L,L,154717960,162475105,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154717961|162475106|19311933,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,190,KG,C,,,ULD,AKE70016KL,255.0,65.0,3/3/2024 4:29,FWD,11R,L,154717961,162475106,19311933.0,RMD
2024-03-02|AMS|KL|0605||2024-03-02|D|154717961|162475106|19311934,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,190,KG,C,,,ULD,AKE70016KL,255.0,65.0,3/3/2024 4:29,FWD,11R,L,154717961,162475106,19311934.0,RCM
2024-03-02|AMS|KL|0605||2024-03-02|D|154717962|162475107,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,228,KG,C,,,ULD,AKE96943KL,285.0,57.0,3/3/2024 4:29,FWD,14L,L,154717962,162475107,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154717963|162475108|19311935,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,2196,KG,C,,,ULD,PMC63079AF,2300.0,104.0,3/3/2024 4:29,AFT,31P,L,154717963,162475108,19311935.0,PES
2024-03-02|AMS|KL|0605||2024-03-02|D|154717964|162475109|19311936,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,2825,KG,C,,,ULD,PAG14239KL,2945.0,120.0,3/3/2024 4:29,AFT,32P,L,154717964,162475109,19311936.0,ELI
2024-03-02|AMS|KL|0605||2024-03-02|D|154717965|162475110|19311937,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,1760,KG,C,,,ULD,PMC72149AF,1870.0,110.0,3/3/2024 4:29,FWD,24P,L,154717965,162475110,19311937.0,OHG
2024-03-02|AMS|KL|0605||2024-03-02|D|154717966|162475111|19311938,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,1700,KG,C,,,ULD,PMC71402AF,1810.0,110.0,3/3/2024 4:29,FWD,23P,L,154717966,162475111,19311938.0,OHG
2024-03-02|AMS|KL|0605||2024-03-02|D|154717967|162475112|19311939,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,941,KG,C,,,ULD,PAG12251AF,1045.0,104.0,3/3/2024 4:29,FWD,22P,L,154717967,162475112,19311939.0,RMD
2024-03-02|AMS|KL|0605||2024-03-02|D|154717967|162475112|19311940,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,941,KG,C,,,ULD,PAG12251AF,1045.0,104.0,3/3/2024 4:29,FWD,22P,L,154717967,162475112,19311940.0,RMD
2024-03-02|AMS|KL|0605||2024-03-02|D|154717968|162475113,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,842,KG,C,,,ULD,PMC18873FX,960.0,118.0,3/3/2024 4:29,FWD,21P,L,154717968,162475113,,
2024-03-02|AMS|KL|0605||2024-03-02|D|154717969|162475114,2024-03-02|KL|0605||AMS,ACTIVE,AMS,SFO,2685,KG,C,,,ULD,PMC21801MP,2810.0,125.0,3/3/2024 4:29,AFT,43P,L,154717969,162475114,,
