BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
5/3/2024 10:36,57,50230983,5750230983,NBO,SFO,A,0.29,MC,21.0,K,2.0,S75,PETS,AMS,FFM,False,False,False,False,False,False,False,False,18464908,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.29,21.0,2.0,1.0,1.0,0.15,10.5,2.0,True,True,0.15,10.5,,,,False
5/3/2024 10:36,57,50230983,5750230983,NBO,SFO,A,0.29,MC,21.0,K,2.0,S75,PETS,AMS,FFM,False,False,False,False,False,False,False,False,18464908,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.29,21.0,2.0,1.0,3.0,0.25,,1.0,True,True,0.25,,56.0,56.0,78.0,True
5/3/2024 10:36,57,50230983,5750230983,NBO,SFO,A,0.29,MC,21.0,K,2.0,S75,PETS,AMS,FFM,False,False,False,False,False,False,False,False,18464908,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.29,21.0,2.0,1.0,2.0,0.1,,1.0,True,True,0.1,,40.0,40.0,60.0,True
5/3/2024 10:36,74,1270441,7401270441,AMS,SFO,A,2.61,MC,435.0,K,1.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18430391,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,2.61,435.0,1.0,1.0,2.0,1.5,,1.0,True,True,1.5,435.0,156.0,80.0,120.0,True
5/3/2024 10:36,74,1270441,7401270441,AMS,SFO,A,2.61,MC,435.0,K,1.0,S23,SLMN,AMS,FFM,False,True,False,False,False,False,False,False,18430391,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,2.61,435.0,1.0,1.0,1.0,2.61,435.0,1.0,True,True,2.61,435.0,,,,False
5/3/2024 10:36,74,1319474,7401319474,AMS,SFO,A,0.88,MC,290.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18476935,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.88,290.0,1.0,1.0,2.0,1.01,,1.0,True,True,1.01,290.0,105.0,80.0,120.0,True
5/3/2024 10:36,74,1319474,7401319474,AMS,SFO,A,0.88,MC,290.0,K,1.0,S23,VEGE,AMS,FFM,False,True,False,False,False,False,False,False,18476935,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.88,290.0,1.0,1.0,1.0,0.88,290.0,1.0,True,True,0.88,290.0,,,,False
5/3/2024 10:36,74,44776605,7444776605,DUS,SFO,A,3.84,MC,333.0,K,4.0,M25,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18485905,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,3.8,332.9,4.0,,,,,,,,,,,,,
5/3/2024 10:36,74,60257260,7460257260,BUD,SFO,A,0.67,MC,44.5,K,1.0,S75,DOGS,AMS,FFM,False,False,False,False,False,False,False,False,18416883,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.67,44.5,1.0,1.0,2.0,0.67,,1.0,True,True,0.67,44.5,85.0,70.0,112.0,True
5/3/2024 10:36,74,60257260,7460257260,BUD,SFO,A,0.67,MC,44.5,K,1.0,S75,DOGS,AMS,FFM,False,False,False,False,False,False,False,False,18416883,KL,605,KL0605,,AMS,SFO,4/3/2024,2024-03-05,0.67,44.5,1.0,1.0,1.0,0.67,44.5,1.0,True,True,0.67,44.5,,,,False
