ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC22963KL,0,7401339984,1,1.0,S23,1,485.0,"1,82",AMS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:33:34,PG01,VG2/3,VG2/3,PMC22963KL,1.0,False,True,False
PMC28569KL,0,7401384740,1,1.0,R21,2,350.0,"1,82",LCJ,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,18-3-2024 23:52:41,PG01,VG2/3,VG2/3,PMC28569KL,1.0,False,True,False
PMC28569KL,0,7401384740,1,2.0,R21,2,350.0,"1,82",LCJ,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,18-3-2024 23:52:41,PG01,VG2/3,VG2/3,PMC28569KL,1.0,False,True,False
PMC28569KL,0,7401395796,1,1.0,R21,3,1019.0,"3,3",AMS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,18-3-2024 23:50:37,PG01,VG2/3,VG2/3,PMC28569KL,1.0,False,True,False
PMC28569KL,0,7401395796,1,2.0,R21,3,1019.0,"3,3",AMS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,18-3-2024 23:50:37,PG01,VG2/3,VG2/3,PMC28569KL,1.0,False,True,False
PMC28569KL,0,7401395796,1,3.0,R21,3,1019.0,"3,3",AMS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,18-3-2024 23:53:41,PG01,VG2/3,VG2/3,PMC28569KL,1.0,False,True,False
AKE95017KL,0,7401408606,1,1.0,M21,1,3.0,"0,05",AMS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 06:24:27,PL01,VG2/3,VG2/3,AKE95017KL,1.0,False,True,False
PMC75926AF,0,7452618790,1,1.0,R21,1,401.0,"0,86",FLR,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:50,PL01,VG2/3,VG2/3,PMC75926AF,1.0,False,True,False
PMC75926AF,0,7462028094,1,1.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC75926AF,1.0,False,True,False
PMC71636AF,0,7462028094,1,1.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC71636AF,1.0,False,True,False
PMC75926AF,0,7462028094,1,2.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC75926AF,1.0,False,True,False
PMC71636AF,0,7462028094,1,2.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC71636AF,1.0,False,True,False
PMC75926AF,0,7462028094,1,3.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC75926AF,1.0,False,True,False
PMC75926AF,0,7462028094,1,4.0,R21,5,1470.0,"7,94",LYS,SFO,KL,605,KL0605,2024-03-19,19-3-2024 10:09:00,19-3-2024 10:00:00,Aircraft,19-3-2024 01:15:21,PL01,VG2/3,VG2/3,PMC75926AF,1.0,False,True,False
