ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC24561KL,1,5745068052,1,,R21,10,1272.0,15,ORK,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,,,,,PMC24561KL,,True,False,False
PMC31044KL,1,5745068052,1,,R21,10,1272.0,15,ORK,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,,,,,PMC31044KL,,True,False,False
AKE96113KL,1,5750907172,1,,R21,1,203.0,"0,68",MEX,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,,,,,AKE96113KL,,True,False,False
PMC62037AF,5,5772397474,1,2.0,R21,8,442.3,"2,46",ATL,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:14,PH04,VG2/3,VG2/3,PMC62037AF,1.0,False,True,False
PMC62037AF,5,5772397474,1,1.0,R21,8,442.3,"2,46",ATL,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:21,PH04,VG2/3,VG2/3,PMC62037AF,7.0,False,True,False
PMC08277KL,1,7401379324,1,,R21,5,3654.8,10,LNZ,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,,,,,PMC08277KL,,True,False,False
PMC62037AF,5,7401463243,1,,R21,3,369.0,"2,85",GOT,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,,,,,PMC62037AF,,True,False,False
PMC75279AF,0,7401465284,1,1.0,R21,1,257.6,"1,55",IAH,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:24,PL03,VG2/3,VG2/3,PMC75279AF,1.0,False,True,False
PMC09919MP,5,7462001251,1,1.0,R21,1,612.0,"1,57",CPT,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:50,PH04,VG2/3,VG2/3,PMC09919MP,1.0,False,True,False
PMC09919MP,5,7462827251,1,1.0,R21,1,495.0,"1,2",BER,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:48,PH04,VG2/3,VG2/3,PMC09919MP,1.0,False,True,False
AKE96608KL,0,7463150065,1,1.0,M21,1,0.2,"0,01",AMS,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 17:34,PL04,VG2/3,VG2/3,AKE96608KL,1.0,False,True,False
PMC75279AF,0,7463770582,1,1.0,R21,2,480.0,"2,77",SWK,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:58,PL03,VG2/3,VG2/3,PMC75279AF,2.0,False,True,False
PMC62037AF,5,7463775390,1,1.0,R21,2,1222.0,"1,64",SWK,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:17,PH04,VG2/3,VG2/3,PMC62037AF,1.0,False,True,False
PMC09919MP,5,7463775390,1,2.0,R21,2,1222.0,"1,64",SWK,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:52,PH04,VG2/3,VG2/3,PMC09919MP,1.0,False,True,False
PMC62037AF,5,7463833442,1,1.0,R21,1,200.0,"0,4",AMS,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:17,PH04,VG2/3,VG2/3,PMC62037AF,1.0,False,True,False
PMC75279AF,0,7464158732,1,1.0,R21,13,549.3,"2,85",HAM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:38,PL03,VG2/3,VG2/3,PMC75279AF,5.0,False,True,False
PMC75279AF,0,7464158732,1,2.0,R21,13,549.3,"2,85",HAM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:28,PL03,VG2/3,VG2/3,PMC75279AF,1.0,False,True,False
PMC75279AF,0,7464158732,1,3.0,R21,13,549.3,"2,85",HAM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:38,PL03,VG2/3,VG2/3,PMC75279AF,1.0,False,True,False
PMC62037AF,5,7464158732,1,4.0,R21,13,549.3,"2,85",HAM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:19,PH04,VG2/3,VG2/3,PMC62037AF,6.0,False,True,False
PMC62037AF,5,7464278616,1,1.0,M25,18,185.0,"0,63",ATH,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:27,PH04,VG2/3,VG2/3,PMC62037AF,18.0,False,True,False
PMC62037AF,5,7464704393,1,1.0,S23,3,17.0,"0,08",AMS,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:24,PH04,VG2/3,VG2/3,PMC62037AF,3.0,False,True,False
PMC75279AF,0,7464782093,1,1.0,R21,2,144.0,"0,32",HAM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:33,PL03,VG2/3,VG2/3,PMC75279AF,2.0,False,True,False
AKE70036KL,0,7464947923,1,,R21,8,1084.0,"3,63",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 16:34,PL03,VG2/3,VG2/3,AKE70036KL,,False,True,False
PMC09919MP,5,7464947923,1,,R21,8,1084.0,"3,63",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:58,PH04,VG2/3,VG2/3,PMC09919MP,,False,True,False
AKE96608KL,0,7464947923,1,,R21,8,1084.0,"3,63",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 16:35,PL04,VG2/3,VG2/3,AKE96608KL,,False,True,False
PMC75279AF,0,7464947956,1,1.0,R21,7,614.8,"2,66",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:30,PL03,VG2/3,VG2/3,PMC75279AF,1.0,False,True,False
PMC75279AF,0,7464947956,1,2.0,R21,7,614.8,"2,66",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:35,PL03,VG2/3,VG2/3,PMC75279AF,2.0,False,True,False
PMC75279AF,0,7464947956,1,3.0,R21,7,614.8,"2,66",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 14:30,PL03,VG2/3,VG2/3,PMC75279AF,1.0,False,True,False
PMC09919MP,5,7464947956,1,4.0,R21,7,614.8,"2,66",RTM,SIN,KL,835,KL0835,2024-04-01,1/4/2024 20:57,1/4/2024 20:50,Aircraft,1/4/2024 15:51,PH04,VG2/3,VG2/3,PMC09919MP,3.0,False,True,False
