FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-04-01|AMS|KL|0835||2024-04-01|D|155925497|163789642,2024-04-01|KL|0835||AMS,ACTIVE,AMS,SIN,339,KG,B,Y,20.0,ULD,AKE97864KL,396.0,57.0,2/4/2024 4:30,AFT,36R,L,155925497,163789642,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925498|163789646,2024-04-01|KL|0835||AMS,ACTIVE,AMS,SIN,380,KG,B,F,24.0,ULD,AKE70146KL,653.0,57.0,2/4/2024 4:30,AFT,42R,L,155925498,163789646,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925498|163789647,2024-04-01|KL|0835||AMS,ACTIVE,AMS,SIN,216,KG,D,,12.0,ULD,AKE70146KL,653.0,57.0,2/4/2024 4:30,AFT,42R,L,155925498,163789647,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925499|163789637,2024-04-01|KL|0835||AMS,ACTIVE,AMS,SIN,747,KG,B,Y,44.0,ULD,AKE94823KL,804.0,57.0,2/4/2024 4:30,AFT,35R,L,155925499,163789637,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925500|163789632,2024-04-01|KL|0835||AMS,ACTIVE,AMS,SIN,50,KG,B,Y,3.0,ULD,AKE95476KL,107.0,57.0,2/4/2024 4:30,AFT,34R,L,155925500,163789632,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925501|163789628,2024-04-01|KL|0835||AMS,ACTIVE,AMS,DPS,288,KG,B,Y,17.0,ULD,AKE95270KL,345.0,57.0,2/4/2024 4:30,AFT,33L,L,155925501,163789628,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925503|163789638,2024-04-01|KL|0835||AMS,ACTIVE,AMS,DPS,183,KG,B,B,11.0,ULD,AKE96845KL,765.0,57.0,2/4/2024 4:30,AFT,36L,L,155925503,163789638,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925503|163789640,2024-04-01|KL|0835||AMS,ACTIVE,AMS,DPS,525,KG,B,Y,31.0,ULD,AKE96845KL,765.0,57.0,2/4/2024 4:30,AFT,36L,L,155925503,163789640,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925505|163789633,2024-04-01|KL|0835||AMS,ACTIVE,AMS,DPS,16,KG,B,B,1.0,ULD,AKE94553KL,802.0,57.0,2/4/2024 4:30,AFT,35L,L,155925505,163789633,,
2024-04-01|AMS|KL|0835||2024-04-01|D|155925505|163789635,2024-04-01|KL|0835||AMS,ACTIVE,AMS,DPS,729,KG,B,Y,43.0,ULD,AKE94553KL,802.0,57.0,2/4/2024 4:30,AFT,35L,L,155925505,163789635,,
