BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,1.0,1.5,127.2,10.0,True,True,1.5,127.2,,,,False
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,7.0,1.44,,2.0,True,True,1.44,,150.0,80.0,120.0,True
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,2.0,1.05,,1.0,True,True,1.05,,109.0,80.0,120.0,True
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,5.0,1.41,,1.0,True,True,1.41,,147.0,80.0,120.0,True
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,6.0,1.43,,4.0,True,True,1.43,,149.0,80.0,120.0,True
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,3.0,1.19,,1.0,True,True,1.19,,124.0,80.0,120.0,True
1/4/2024 20:25,57,45068052,5745068052,ORK,SIN,A,15.0,MC,1272.0,K,10.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18551112,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,15.0,1272.0,10.0,1.0,4.0,1.39,,1.0,True,True,1.39,,145.0,80.0,120.0,True
1/4/2024 20:25,57,50907172,5750907172,MEX,SIN,A,0.68,MC,203.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18579018,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,0.68,203.0,1.0,1.0,1.0,0.68,203.0,1.0,True,True,0.68,203.0,,,,False
1/4/2024 20:25,57,72397474,5772397474,ATL,SIN,A,2.46,MC,442.3,K,8.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18592998,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,2.46,442.3,8.0,,,,,,,,,,,,,
28-3-2024 19:06:50,74,903873,7400903873,ORD,SIN,R,1.02,MC,150.0,K,1.0,R21,GENE,MIA,CG1,False,False,False,False,False,False,False,False,18598281,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,1.02,150.0,1.0,1.0,1.0,1.02,150.0,1.0,True,False,1.02,150.0,41.0,109.0,229.0,False
1/4/2024 20:25,74,1379324,7401379324,LNZ,SIN,A,10.0,MC,3654.8,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18562805,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,10.0,3654.8,5.0,1.0,1.0,2.0,730.96,5.0,True,True,2.0,730.96,,,,False
1/4/2024 20:25,74,1379324,7401379324,LNZ,SIN,A,10.0,MC,3654.8,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18562805,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,10.0,3654.8,5.0,1.0,3.0,1.04,,1.0,True,True,1.04,,108.0,80.0,120.0,True
1/4/2024 20:25,74,1379324,7401379324,LNZ,SIN,A,10.0,MC,3654.8,K,5.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18562805,KL,835,KL0835,,AMS,SIN,31-3-2024,2024-04-01,10.0,3654.8,5.0,1.0,2.0,1.42,,4.0,True,True,1.42,,109.0,114.0,114.0,True
