FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-02-23|AMS|KL|0835||2024-02-23|D|154379904|162117283,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,759,KG,B,T,46.0,ULD,AKE97365KL,816.0,57.0,24-2-2024 04:42:50,AFT,36R,L,154379904,162117283,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379905|162117284,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,775,KG,B,T,47.0,ULD,AKE95076KL,832.0,57.0,24-2-2024 04:42:50,AFT,41R,L,154379905,162117284,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379906|162117285,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,260,KG,B,F,15.0,ULD,AKE95334KL,424.0,57.0,24-2-2024 04:42:50,AFT,42R,L,154379906,162117285,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379906|162117286,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,90,KG,D,,5.0,ULD,AKE95334KL,424.0,57.0,24-2-2024 04:42:50,AFT,42R,L,154379906,162117286,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379906|162150885,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,17,KG,B,Y,1.0,ULD,AKE95334KL,424.0,57.0,24-2-2024 04:42:50,AFT,42R,L,154379906,162150885,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379907|162150886,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,624,KG,B,F,36.0,ULD,AKE95539KL,807.0,57.0,24-2-2024 04:42:50,AFT,42L,L,154379907,162150886,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379907|162150887,2024-02-23|KL|0835||AMS,ACTIVE,AMS,SIN,126,KG,D,,7.0,ULD,AKE95539KL,807.0,57.0,24-2-2024 04:42:50,AFT,42L,L,154379907,162150887,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379908|162117288,2024-02-23|KL|0835||AMS,ACTIVE,AMS,DPS,697,KG,B,Y,44.0,ULD,AKE95388KL,754.0,57.0,24-2-2024 04:42:50,AFT,44R,L,154379908,162117288,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379910|162117290,2024-02-23|KL|0835||AMS,ACTIVE,AMS,DPS,301,KG,B,Y,19.0,ULD,AKE94638KL,375.0,57.0,24-2-2024 04:42:50,AFT,44L,L,154379910,162117290,,
2024-02-23|AMS|KL|0835||2024-02-23|D|154379910|162150888,2024-02-23|KL|0835||AMS,ACTIVE,AMS,DPS,17,KG,B,B,1.0,ULD,AKE94638KL,375.0,57.0,24-2-2024 04:42:50,AFT,44L,L,154379910,162150888,,
