ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
AKE97620KL,0,7400879373,1,1.0,C01,2,436.0,"1,6",FRA,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:53:56,PM12,VG2/3,VG2/3,AKE97620KL,1.0,False,True,False
AKE97620KL,0,7400879373,1,2.0,C01,2,436.0,"1,6",FRA,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:53:56,PM12,VG2/3,VG2/3,AKE97620KL,1.0,False,True,False
PMC00603DL,3,7400890444,1,,R21,1,260.0,"1,56",PRG,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,,,,,PMC00603DL,,True,False,False
PMC28001KL,18,7401257351,1,1.0,R21,2,83.0,"2,22",WAW,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 14:45:42,PM04,VG2/3,VG2/3,PMC28001KL,1.0,False,True,False
PMC71692AF,0,7401257351,1,2.0,R21,2,83.0,"2,22",WAW,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:03:19,PM03,VG2/3,VG2/3,PMC71692AF,1.0,False,True,False
PMC28362KL,0,7401261724,1,1.0,S53,2,180.5,"1,08",AMS,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:34:29,PM02,VG2/3,VG2/3,PMC28362KL,1.0,False,True,False
PMC28362KL,0,7401261724,1,2.0,S53,2,180.5,"1,08",AMS,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:34:29,PM02,VG2/3,VG2/3,PMC28362KL,1.0,False,True,False
PMC28362KL,0,7401262310,1,1.0,S53,1,210.0,"1,1",FRA,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:40:47,PM02,VG2/3,VG2/3,PMC28362KL,1.0,False,True,False
PMC71692AF,0,7401264185,1,1.0,R21,1,107.0,"0,64",YYZ,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:08:53,PM03,VG2/3,VG2/3,PMC71692AF,1.0,False,True,False
PMC28001KL,18,7401264524,1,1.0,R21,4,192.5,"1,16",RTM,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 14:50:48,PM04,VG2/3,VG2/3,PMC28001KL,1.0,False,True,False
PMC28362KL,0,7401264524,1,2.0,R21,4,192.5,"1,16",RTM,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:38:07,PM02,VG2/3,VG2/3,PMC28362KL,3.0,False,True,False
PMC28001KL,18,7401264524,1,2.0,R21,4,192.5,"1,16",RTM,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 14:50:48,PM04,VG2/3,VG2/3,PMC28001KL,3.0,False,True,False
PMC28362KL,0,7401264524,1,3.0,R21,4,192.5,"1,16",RTM,SIN,KL,835,KL0835,2024-02-25,25-2-2024 21:57:00,25-2-2024 21:10:00,Aircraft,25-2-2024 16:38:07,PM02,VG2/3,VG2/3,PMC28362KL,1.0,False,True,False
