BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
28-2-2024 21:31:41,74,879126,7400879126,BER,SIN,A,13.94,MC,3145.0,K,12.0,S50,PHAR,AMS,FFM,False,False,False,False,False,False,False,False,18414808,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,13.94,3144.9,12.0,1.0,1.0,1.16,262.08,12.0,True,True,1.16,262.08,,,,False
28-2-2024 21:31:41,74,879126,7400879126,BER,SIN,A,13.94,MC,3145.0,K,12.0,S50,PHAR,AMS,FFM,False,False,False,False,False,False,False,False,18414808,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,13.94,3144.9,12.0,1.0,2.0,0.92,,12.0,True,True,0.92,262.08,96.0,80.0,120.0,True
28-2-2024 21:31:41,74,1259462,7401259462,LIM,SIN,A,4.19,MC,699.0,K,47.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18419762,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,4.19,699.0,47.0,1.0,1.0,0.09,14.87,47.0,True,True,0.09,14.87,,,,False
28-2-2024 21:31:41,74,1259462,7401259462,LIM,SIN,A,4.19,MC,699.0,K,47.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18419762,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,4.19,699.0,47.0,1.0,2.0,0.05,,47.0,True,True,0.05,14.87,21.0,39.0,58.0,True
28-2-2024 21:31:41,74,1262306,7401262306,NUE,SIN,A,2.86,MC,510.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18422948,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,2.85,510.0,3.0,1.0,2.0,0.51,,1.0,True,True,0.51,,66.0,83.0,93.0,True
28-2-2024 21:31:41,74,1262306,7401262306,NUE,SIN,A,2.86,MC,510.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18422948,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,2.85,510.0,3.0,1.0,1.0,0.95,170.0,3.0,True,True,0.95,170.0,,,,False
28-2-2024 21:31:41,74,1262306,7401262306,NUE,SIN,A,2.86,MC,510.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18422948,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,2.85,510.0,3.0,1.0,4.0,1.3,,1.0,True,True,1.3,,135.0,80.0,120.0,True
28-2-2024 21:31:41,74,1262306,7401262306,NUE,SIN,A,2.86,MC,510.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18422948,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,2.85,510.0,3.0,1.0,3.0,1.06,,1.0,True,True,1.06,,110.0,80.0,120.0,True
28-2-2024 21:31:41,74,1276811,7401276811,SVG,SIN,A,1.05,MC,175.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18437223,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,1.05,175.0,1.0,1.0,1.0,1.05,175.0,1.0,True,True,1.05,175.0,,,,False
28-2-2024 21:31:41,74,1276811,7401276811,SVG,SIN,A,1.05,MC,175.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18437223,KL,835,KL0835,,AMS,SIN,27-2-2024,2024-02-28,1.05,175.0,1.0,1.0,2.0,0.33,,1.0,True,True,0.33,175.0,37.0,81.0,110.0,True
