FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-01|AMS|KL|0835||2024-01-01|D|152244803|159878093,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,621,KG,B,Y,35.0,ULD,AKE97690KL,678.0,57.0,16-2-2024 17:02:55,AFT,35L,L,152244803,159878093,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244804|159845747,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,779,KG,B,T,43.0,ULD,AKE95014KL,836.0,57.0,16-2-2024 17:02:55,AFT,34L,L,152244804,159845747,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244805|159845748,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,482,KG,B,F,25.0,ULD,AKE95104KL,611.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152244805,159845748,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244805|159878094,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,72,KG,D,,4.0,ULD,AKE95104KL,611.0,57.0,16-2-2024 17:02:55,AFT,41L,L,152244805,159878094,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244806|159845750,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,639,KG,B,Y,36.0,ULD,AKE98181KL,809.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152244806,159845750,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244806|159877303,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,41,KG,B,B,2.0,ULD,AKE98181KL,809.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152244806,159877303,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244806|159877304,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,72,KG,B,T,4.0,ULD,AKE98181KL,809.0,57.0,16-2-2024 17:02:55,AFT,43L,L,152244806,159877304,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244807|159845751,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,53,KG,B,Y,3.0,ULD,AKE97706KL,110.0,57.0,16-2-2024 17:02:55,AFT,33L,L,152244807,159845751,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244808|159845752,2024-01-01|KL|0835||AMS,ACTIVE,AMS,SIN,728,KG,B,Y,41.0,ULD,AKE97875KL,785.0,57.0,16-2-2024 17:02:55,AFT,44L,L,152244808,159845752,,
2024-01-01|AMS|KL|0835||2024-01-01|D|152244809|159845753,2024-01-01|KL|0835||AMS,ACTIVE,AMS,DPS,674,KG,B,Y,39.0,ULD,AKE95607KL,731.0,57.0,16-2-2024 17:02:55,AFT,32R,L,152244809,159845753,,
