ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PAG03541KL,0,7400686770,1,1.0,M25,1,81.0,"0,45",AMS,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 14:57,PM03,VG2/3,VG2/3,PAG03541KL,1.0,False,True,False
PAG03541KL,0,7400692473,1,1.0,C01,2,393.0,"1,11",RTM,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:06,PM03,VG2/3,VG2/3,PAG03541KL,1.0,False,True,False
PAG03541KL,0,7400692473,1,2.0,C01,2,393.0,"1,11",RTM,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:06,PM03,VG2/3,VG2/3,PAG03541KL,1.0,False,True,False
PAG12710AF,0,7401055541,1,1.0,M21,2,7.0,"0,04",AMS,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:40,PM01,VG2/3,VG2/3,PAG12710AF,2.0,False,True,False
PMC73727AF,0,7401063123,1,3.0,M25,2,956.7,"2,49",BER,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 16:47,PM02,VG2/3,VG2/3,PMC73727AF,1.0,False,True,False
PMC73727AF,0,7401063123,1,4.0,M25,2,956.7,"2,49",BER,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 16:47,PM02,VG2/3,VG2/3,PMC73727AF,1.0,False,True,False
PAG12710AF,0,7401074894,1,1.0,M21,1,1.0,"0,02",AMS,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:37,PM01,VG2/3,VG2/3,PAG12710AF,1.0,False,True,False
PAG12710AF,0,7401075760,1,1.0,R21,9,134.4,"0,82",RTM,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:33,PM01,VG2/3,VG2/3,PAG12710AF,6.0,False,True,False
PAG03541KL,0,7401075760,1,2.0,R21,9,134.4,"0,82",RTM,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,3/1/2024 15:12,PM03,VG2/3,VG2/3,PAG03541KL,3.0,False,True,False
PMC90318AF,1,7460066731,1,,R21,7,2800.0,"20,01",IAH,SIN,KL,835,KL0835,2024-01-03,3/1/2024 21:28,3/1/2024 21:10,Aircraft,,,,,PMC90318AF,,True,False,False
