BookingUpdateDatetimeUTC,BookingAirWaybillPrefix,BookingAirWaybillSerialNumber,BookingAirWaybillNumber,BookingOriginStationCode,BookingDestinationStationCode,BookingEvaluationStatus,BookingTotalVolume,BookingVolumeUnitCode,BookingTotalWeight,BookingWeightUnitCode,BookingTotalPieceCount,BookingProductCode,BookingCommodityCode,BookingUpdateStationCode,BookingUpdateChannelCode,IsBUP,IsCOL,IsCRT,IsPEV,IsICE,IsACT,IsACE,IsDangerousGoods,BookingPartShipmentID,BookingSegmentAirlineDesignator,BookingSegmentFlightNumber,BookingSegmentFlight,BookingSegmentOperationalSuffix,BookingSegmentBoardPointStationCode,BookingSegmentOffPointStationCode,BookingSegmentFlightDateUTC,BookingSegmentFlightDateLT,BookingSegmentVolume,BookingSegmentWeight,BookingSegmentPieceCount,BookingLineNumber,BookingSegmentPiecesID,BookingSegmentPiecesVolume,BookingSegmentPiecesWeight,BookingSegmentPiecesCount,BookingSegmentPiecesStackable,BookingSegmentPiecesTurnable,BookingLinePieceVolume,BookingLinePieceWeight,BookingLinePieceHeight,BookingLinePieceWidth,BookingLinePieceLength,BookingLinePieceIsInformational
21-1-2024 21:45:45,57,6817565,5706817565,MIA,SIN,A,0.95,MC,82.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18249700,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.95,82.0,1.0,1.0,1.0,0.95,82.0,1.0,True,True,0.95,82.0,,,,False
21-1-2024 21:45:45,57,6817565,5706817565,MIA,SIN,A,0.95,MC,82.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18249700,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.95,82.0,1.0,1.0,2.0,0.06,,1.0,True,True,0.06,82.0,30.0,40.0,48.0,True
21-1-2024 21:45:45,74,716715,7400716715,YEG,SIN,A,0.22,MC,274.0,K,1.0,C01,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263458,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.22,274.0,1.0,1.0,1.0,0.22,274.0,1.0,True,True,0.22,274.0,,,,False
21-1-2024 21:45:45,74,716715,7400716715,YEG,SIN,A,0.22,MC,274.0,K,1.0,C01,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18263458,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.22,274.0,1.0,1.0,2.0,0.23,,1.0,True,True,0.23,274.0,61.0,61.0,61.0,True
21-1-2024 21:45:45,74,735641,7400735641,HAM,SIN,A,1.79,MC,182.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18231488,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.79,182.0,2.0,1.0,1.0,0.9,91.0,2.0,True,True,0.9,91.0,,,,False
21-1-2024 21:45:45,74,735641,7400735641,HAM,SIN,A,1.79,MC,182.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18231488,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.79,182.0,2.0,1.0,2.0,0.89,,2.0,True,True,0.89,91.0,115.0,80.0,97.0,True
21-1-2024 21:45:45,74,742976,7400742976,WAW,SIN,A,3.5,MC,352.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18240245,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,3.49,352.0,1.0,1.0,2.0,3.53,,1.0,True,True,3.53,352.0,140.0,120.0,210.0,True
21-1-2024 21:45:45,74,742976,7400742976,WAW,SIN,A,3.5,MC,352.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18240245,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,3.49,352.0,1.0,1.0,1.0,3.5,352.0,1.0,True,True,3.5,352.0,,,,False
21-1-2024 21:45:45,74,760023,7400760023,HAJ,SIN,A,2.26,MC,1106.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18257863,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.26,1106.0,3.0,1.0,1.0,0.75,368.67,3.0,True,True,0.75,368.67,,,,False
21-1-2024 21:45:45,74,760023,7400760023,HAJ,SIN,A,2.26,MC,1106.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18257863,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.26,1106.0,3.0,1.0,2.0,0.42,,1.0,True,True,0.42,,70.0,68.0,88.0,True
21-1-2024 21:45:45,74,760023,7400760023,HAJ,SIN,A,2.26,MC,1106.0,K,3.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18257863,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.26,1106.0,3.0,1.0,3.0,0.92,,2.0,True,True,0.92,,96.0,80.0,120.0,True
21-1-2024 21:45:45,74,1116264,7401116264,SVG,SIN,A,0.72,MC,586.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18242650,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.72,586.0,1.0,,,,,,,,,,,,,
21-1-2024 21:45:45,74,1118681,7401118681,MRS,SIN,A,1.52,MC,166.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18245984,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.52,166.0,2.0,,,,,,,,,,,,,
21-1-2024 21:45:45,74,1119090,7401119090,FRA,SIN,A,2.35,MC,594.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18246446,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.35,594.0,4.0,1.0,2.0,0.92,,1.0,True,True,0.92,,96.0,80.0,120.0,True
21-1-2024 21:45:45,74,1119090,7401119090,FRA,SIN,A,2.35,MC,594.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18246446,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.35,594.0,4.0,1.0,1.0,0.59,148.5,4.0,True,True,0.59,148.5,,,,False
21-1-2024 21:45:45,74,1119090,7401119090,FRA,SIN,A,2.35,MC,594.0,K,4.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,True,18246446,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,2.35,594.0,4.0,1.0,3.0,1.43,,1.0,True,True,1.43,,149.0,80.0,120.0,True
21-1-2024 21:45:45,74,1121072,7401121072,PRG,SIN,A,0.91,MC,265.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247952,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.91,265.0,1.0,1.0,2.0,0.91,,1.0,True,True,0.91,265.0,95.0,80.0,120.0,True
21-1-2024 21:45:45,74,1121072,7401121072,PRG,SIN,A,0.91,MC,265.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18247952,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.91,265.0,1.0,1.0,1.0,0.91,265.0,1.0,True,True,0.91,265.0,,,,False
21-1-2024 21:45:45,74,1121886,7401121886,CDG,SIN,A,0.74,MC,67.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18248866,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.74,67.0,1.0,1.0,2.0,0.74,,1.0,True,True,0.74,67.0,77.0,80.0,120.0,True
21-1-2024 21:45:45,74,1121886,7401121886,CDG,SIN,A,0.74,MC,67.0,K,1.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18248866,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,0.74,67.0,1.0,1.0,1.0,0.74,67.0,1.0,True,True,0.74,67.0,,,,False
21-1-2024 21:45:45,74,1125530,7401125530,WAW,SIN,A,1.07,MC,325.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18252698,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.06,325.0,2.0,1.0,2.0,0.54,,1.0,True,True,0.54,,112.0,60.0,80.0,True
21-1-2024 21:45:45,74,1125530,7401125530,WAW,SIN,A,1.07,MC,325.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18252698,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.06,325.0,2.0,1.0,3.0,0.77,,1.0,True,True,0.77,,80.0,80.0,120.0,True
21-1-2024 21:45:45,74,1125530,7401125530,WAW,SIN,A,1.07,MC,325.0,K,2.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18252698,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.06,325.0,2.0,1.0,1.0,0.54,162.5,2.0,True,True,0.54,162.5,,,,False
21-1-2024 21:45:45,74,1126064,7401126064,AMS,SIN,A,1.75,MC,349.0,K,15.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18253110,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.73,349.0,15.0,1.0,4.0,0.96,,1.0,True,True,0.96,,100.0,80.0,120.0,True
21-1-2024 21:45:45,74,1126064,7401126064,AMS,SIN,A,1.75,MC,349.0,K,15.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18253110,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.73,349.0,15.0,1.0,3.0,0.26,,2.0,True,True,0.26,,55.0,60.0,80.0,True
21-1-2024 21:45:45,74,1126064,7401126064,AMS,SIN,A,1.75,MC,349.0,K,15.0,R21,BOAT,AMS,FFM,False,False,False,False,False,False,False,False,18253110,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,1.73,349.0,15.0,1.0,2.0,0.02,,11.0,True,True,0.02,,25.0,25.0,30.0,True
21-1-2024 21:45:45,74,1131583,7401131583,HAJ,SIN,A,14.46,MC,2820.0,K,14.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18259647,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,14.47,2820.0,14.0,1.0,3.0,0.77,,1.0,True,True,0.77,,80.0,80.0,120.0,True
21-1-2024 21:45:45,74,1131583,7401131583,HAJ,SIN,A,14.46,MC,2820.0,K,14.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18259647,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,14.47,2820.0,14.0,1.0,4.0,1.54,,1.0,True,True,1.54,,160.0,80.0,120.0,True
21-1-2024 21:45:45,74,1131583,7401131583,HAJ,SIN,A,14.46,MC,2820.0,K,14.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18259647,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,14.47,2820.0,14.0,1.0,5.0,1.34,,9.0,True,True,1.34,,140.0,80.0,120.0,True
21-1-2024 21:45:45,74,1131583,7401131583,HAJ,SIN,A,14.46,MC,2820.0,K,14.0,R21,GENE,AMS,FFM,False,False,False,False,False,False,False,False,18259647,KL,835,KL0835,,AMS,SIN,20-1-2024,2024-01-21,14.47,2820.0,14.0,1.0,2.0,0.02,,3.0,True,True,0.02,,10.0,10.0,210.0,True
