FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-01-25|AMS|KL|0835||2024-01-25|D|153224945|160919756,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,88,KG,B,F,5.0,ULD,AKE70171KL,314.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153224945,160919756,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224945|160919757,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,169,KG,B,Y,10.0,ULD,AKE70171KL,314.0,57.0,16-2-2024 17:02:55,AFT,36R,L,153224945,160919757,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224946|160919744,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,530,KG,B,T,29.0,ULD,AKE95640KL,587.0,57.0,16-2-2024 17:02:55,AFT,35L,L,153224946,160919744,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224948|160919741,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,730,KG,B,Y,46.0,ULD,AKE97369KL,787.0,57.0,16-2-2024 17:02:55,AFT,34L,L,153224948,160919741,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224950|160919021,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,556,KG,B,Y,35.0,ULD,AKE94740KL,613.0,57.0,16-2-2024 17:02:55,AFT,32L,L,153224950,160919021,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224954|160919017,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,651,KG,B,Y,41.0,ULD,AKE98218KL,764.0,57.0,16-2-2024 17:02:55,AFT,31L,L,153224954,160919017,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224954|160919019,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,56,KG,B,B,3.0,ULD,AKE98218KL,764.0,57.0,16-2-2024 17:02:55,AFT,31L,L,153224954,160919019,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224956|160919759,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,513,KG,B,F,29.0,ULD,AKE96847KL,750.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153224956,160919759,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224956|160919760,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,180,KG,D,,10.0,ULD,AKE96847KL,750.0,57.0,16-2-2024 17:02:55,AFT,41R,L,153224956,160919760,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224957|160919758,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,248,KG,B,T,14.0,ULD,AKE97358KL,305.0,57.0,16-2-2024 17:02:55,AFT,41L,L,153224957,160919758,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224958|160919746,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,727,KG,B,T,41.0,ULD,AKE97476KL,784.0,57.0,16-2-2024 17:02:55,AFT,35R,L,153224958,160919746,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224959|160890313,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153224959,160890313,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224960|160890314,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153224960,160890314,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224962|160890316,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153224962,160890316,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224963|160890317,2024-01-25|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153224963,160890317,,
2024-01-25|AMS|KL|0835||2024-01-25|D|153224965|160890319,2024-01-25|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,T,0.0,BLK,,,,16-2-2024 17:02:55,BLK,52,L,153224965,160890319,,
