FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-05|AMS|KL|0835||2024-03-05|D|154836753|162630856,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,161,KG,B,Y,10.0,ULD,AKE97674KL,349.0,57.0,6/3/2024 4:30,AFT,41L,L,154836753,162630856,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836753|162630857,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,D,,1.0,ULD,AKE97674KL,349.0,57.0,6/3/2024 4:30,AFT,41L,L,154836753,162630857,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836753|162630858,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,95,KG,B,F,6.0,ULD,AKE97674KL,349.0,57.0,6/3/2024 4:30,AFT,41L,L,154836753,162630858,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836753|162630859,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,18,KG,B,B,1.0,ULD,AKE97674KL,349.0,57.0,6/3/2024 4:30,AFT,41L,L,154836753,162630859,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836754|162630860,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,216,KG,D,,12.0,ULD,AKE95259KL,720.0,57.0,6/3/2024 4:30,AFT,41R,L,154836754,162630860,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836754|162630861,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,447,KG,B,F,28.0,ULD,AKE95259KL,720.0,57.0,6/3/2024 4:30,AFT,41R,L,154836754,162630861,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836755|162630855,2024-03-05|KL|0835||AMS,ACTIVE,AMS,SIN,393,KG,B,T,24.0,ULD,AKE97632KL,450.0,57.0,6/3/2024 4:30,AFT,36R,L,154836755,162630855,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836756|162630672,2024-03-05|KL|0835||AMS,ACTIVE,AMS,DPS,113,KG,B,Y,7.0,ULD,AKE70284KL,170.0,57.0,6/3/2024 4:30,AFT,35L,L,154836756,162630672,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836758|162630669,2024-03-05|KL|0835||AMS,ACTIVE,AMS,DPS,678,KG,B,Y,42.0,ULD,AKE96109KL,735.0,57.0,6/3/2024 4:30,AFT,34L,L,154836758,162630669,,
2024-03-05|AMS|KL|0835||2024-03-05|D|154836760|162630663,2024-03-05|KL|0835||AMS,ACTIVE,AMS,DPS,646,KG,B,Y,40.0,ULD,AKE97507KL,703.0,57.0,6/3/2024 4:30,AFT,32L,L,154836760,162630663,,
