ULD,TotalNumberOfShipments,AirWaybillNumber,AirWaybillSequenceNumber,AirWaybillStorageSequenceNumber,ProductCode,NumberOfPiecesOnAWB,TotalWeightOnAWB,TotalVolumeOnAWB,OriginStationCode,DestinationStationCode,DepartureFlightPrefix,DepartureFlightNumber,DepartureFlight,DepartureFlightDate,DepartureFlightDT,ScheduledDepartureFlightDT,FlightOrTruck,BuildupEventDateTime,BuildupLocation,BuildupLocationGroup,BuildupLocationBuilding,OutgoingULDKey,NrBuildupPieces,IsNotBuildUp,IsBuildUpInVG3,IsBuildUpInVG1
PMC07404KL,9,7401338293,1,1.0,R21,2,512.0,"1,34",PRG,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 15:23:13,PM02,VG2/3,VG2/3,PMC07404KL,2.0,False,True,False
PMC63880AF,0,7401362616,1,1.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC63880AF,0,7401362616,1,2.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC63880AF,0,7401362616,1,3.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC63880AF,0,7401362616,1,4.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC63880AF,0,7401362616,1,5.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC63880AF,0,7401362616,1,6.0,S53,6,689.0,"9,32",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 16:24:53,PM01,VG2/3,VG2/3,PMC63880AF,1.0,False,True,False
PMC07404KL,9,7401367111,1,,R21,1,471.0,"2,6",ORD,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,,,,,PMC07404KL,,True,False,False
PMC28191KL,0,7401373562,1,1.0,S23,1,278.2,"1,76",AMS,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 17:40:49,PM02,VG2/3,VG2/3,PMC28191KL,1.0,False,True,False
PMC07404KL,9,7401373643,1,1.0,R21,1,180.0,"1,15",MUC,SIN,KL,835,KL0835,2024-03-19,19-3-2024 21:15:00,19-3-2024 21:10:00,Aircraft,19-3-2024 15:21:48,PM02,VG2/3,VG2/3,PMC07404KL,1.0,False,True,False
