FlightLoadId,FlightLegDepartureKey,DeadloadStatus,DeadloadOrigin,DeadloadDestination,Weight,WeightUnit,DeadloadType,DeadloadSubType,NumberOfItemsInUld,LoadType,SerialNumber,UldGrossWeight,UldTareWeight,ModTime,Hold,LoadLocation,Deck,LoadId,DeadloadId,SpecialCargoId,SpecialHandlingCode
2024-03-30|AMS|KL|0835||2024-03-30|D|155844338|163699420,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,682,KG,B,Y,39.0,ULD,AKE70206KL,772.0,57.0,31-3-2024 04:27:23,AFT,33R,L,155844338,163699420,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844338|163699421,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,33,KG,B,B,2.0,ULD,AKE70206KL,772.0,57.0,31-3-2024 04:27:23,AFT,33R,L,155844338,163699421,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844339|163701460,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,751,KG,B,T,40.0,ULD,AKE96427KL,808.0,57.0,31-3-2024 04:27:23,AFT,41R,L,155844339,163701460,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844340|163701445,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,349,KG,B,Y,20.0,ULD,AKE96657KL,406.0,57.0,31-3-2024 04:27:23,AFT,34R,L,155844340,163701445,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844341|163701448,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,385,KG,B,F,20.0,ULD,AKE98207KL,676.0,57.0,31-3-2024 04:27:23,AFT,35R,L,155844341,163701448,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844341|163701449,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,234,KG,D,,13.0,ULD,AKE98207KL,676.0,57.0,31-3-2024 04:27:23,AFT,35R,L,155844341,163701449,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844342|163701450,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,511,KG,B,F,27.0,ULD,AKE98004KL,568.0,57.0,31-3-2024 04:27:23,AFT,36L,L,155844342,163701450,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844344|163699418,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,647,KG,B,Y,38.0,ULD,AKE97999KL,704.0,57.0,31-3-2024 04:27:23,AFT,33L,L,155844344,163699418,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844346|163701446,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,630,KG,B,Y,37.0,ULD,AKE98117KL,687.0,57.0,31-3-2024 04:27:23,AFT,35L,L,155844346,163701446,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844348|163701443,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,664,KG,B,Y,39.0,ULD,AKE70149KL,721.0,57.0,31-3-2024 04:27:23,AFT,34L,L,155844348,163701443,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844350|163670939,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,G,0.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844350,163670939,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844351|163670940,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,G,0.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844351,163670940,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844353|163670942,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,B,0.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844353,163670942,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844354|163670943,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,0,KG,B,B,0.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844354,163670943,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844356|163670945,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,38,KG,B,T,2.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844356,163670945,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844357|163670946,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,60,KG,B,F,3.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844357,163670946,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844358|163670947,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,104,KG,B,Y,6.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844358,163670947,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844360|163670949,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,38,KG,B,F,2.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844360,163670949,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155844362|163670951,2024-03-30|KL|0835||AMS,ACTIVE,AMS,SIN,0,KG,B,Y,0.0,BLK,,,,31-3-2024 04:27:23,BLK,52,L,155844362,163670951,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155863567|163699414,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,52,KG,B,B,3.0,ULD,AKE97046KL,824.0,57.0,31-3-2024 04:27:23,AFT,32L,L,155863567,163699414,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155863567|163699416,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,715,KG,B,Y,42.0,ULD,AKE97046KL,824.0,57.0,31-3-2024 04:27:23,AFT,32L,L,155863567,163699416,,
2024-03-30|AMS|KL|0835||2024-03-30|D|155863569|163701454,2024-03-30|KL|0835||AMS,ACTIVE,AMS,DPS,265,KG,B,F,14.0,ULD,AKE95564KL,595.0,57.0,31-3-2024 04:27:23,AFT,41L,L,155863569,163701454,,
