ACType,ACRegistration,OEW,DOI
789,PHBHA,123222,46.6
789,PHBHC,123201,46.4
789,PHBHD,123283,46.9
789,PHBHE,123218,46.2
789,PHBHF,123027,46.3
789,PHBHG,123128,46.1
789,PHBHH,123425,46.8
789,PHBHI,123334,46.2
789,PHBHL,123376,46
789,PHBHM,123126,46.2
789,PHBHN,123319,46.1
789,PHBHO,123220,46.2
789,PHBHP,123230,46.1
789,PHBHQ,123220,46.2
789,PHBHR,123230,46.1
772,PHBQA,143123,31.7
772,PHBQB,143155,32.1
772,PHBQC,142892,31.4
772,PHBQD,143223,31.5
772,PHBQE,143390,30.8
772,PHBQF,143232,31
772,PHBQG,143538,31.1
772,PHBQH,143600,31
772,PHBQI,143359,32.3
772,PHBQK,143195,31.6
772,PHBQL,143423,31.6
772,PHBQM,143906,31.9
772,PHBQN,143450,30.1
772,PHBQO,143725,32
772,PHBQP,143299,31.1
781,PHBKA,126825,37.7
781,PHBKC,127023,37.7
781,PHBKD,126942,37.6
781,PHBKF,126993,37.7
781,PHBKG,126857,37.3
781,PHBKH,126654,37.2
781,PHBKI,126775,37.5
77W,PHBVA,165220,46.7
77W,PHBVB,165265,48
77W,PHBVC,165033,47.8
77W,PHBVD,164836,48.2
77W,PHBVF,164588,47.3
77W,PHBVG,164656,46.9
77W,PHBVI,164966,47.8
77W,PHBVK,164894,48
77W,PHBVN,164491,46.3
77W,PHBVO,164272,46.4
77W,PHBVP,164491,46.3
77W,PHBVR,164418,46.5
77W,PHBVS,164601,47.1
77W,PHBVU,164593,47.1
77W,PHBVV,164450,46.4
77W,PHBVW,164757,46.7
