FlightLegUtcId,Airline,FlightNumber,LegDepartureDateUtc,DepartureAirport,ArrivalAirport,ActualZeroFuelWeight,EstimatedZeroFuelWeight,DryOperatingWeight,MacZFW,ModTime,AircraftType,AircraftRegistration,FlightCancelled,CostIndex,TakeOffFuel,TripFuel
2024-01-01|KL|0601||AMS,KL,601,1/1/2024,AMS,LAX,166489,166523,133359,"316,791,046",2/1/2024 6:31,781,PHBKI,FALSE,10,61623,56519
2024-01-01|KL|0661||AMS,KL,661,1/1/2024,AMS,IAH,179610,180323,132717,"270,333,998",2/1/2024 6:31,781,PHBKM,FALSE,10,63698,56431
2024-01-01|KL|0835||AMS,KL,835,1/1/2024,AMS,SIN,210228,210648,172616,"34,911,745",2/1/2024 6:31,77W,PHBVG,FALSE,200,101230,91738
2024-01-01|KL|0855||AMS,KL,855,1/1/2024,AMS,ICN,186653,187287,148407,"314,936,163",2/1/2024 6:31,772,PHBQI,FALSE,20,78439,73011
2024-01-01|KL|0871||AMS,KL,871,1/1/2024,AMS,DEL,169356,170042,132232,"334,062,548",2/1/2024 6:31,781,PHBKA,FALSE,700,54024,42980
2024-01-01|KL|0879||AMS,KL,879,1/1/2024,AMS,BLR,161969,162356,127402,"315,135,784",2/1/2024 6:31,789,PHBHC,FALSE,10,49142,43333
2024-01-02|KL|0601||AMS,KL,601,2/1/2024,AMS,LAX,173380,175003,133040,"285,058,543",3/1/2024 6:33,781,PHBKL,FALSE,10,63392,58101
2024-01-02|KL|0605||AMS,KL,605,2/1/2024,AMS,SFO,164391,165345,128082,"30,206,189",3/1/2024 6:33,789,PHBHH,FALSE,10,59717,54838
2024-01-02|KL|0661||AMS,KL,661,2/1/2024,AMS,IAH,175827,176334,128058,"297,240,401",3/1/2024 6:33,789,PHBHP,FALSE,10,63373,56469
2024-01-02|KL|0835||AMS,KL,835,2/1/2024,AMS,SIN,216022,215716,172619,"315,999,484",3/1/2024 6:33,77W,PHBVD,FALSE,250,106784,96950
2024-01-02|KL|0871||AMS,KL,871,2/1/2024,AMS,DEL,211666,212089,169485,"344,947,981",3/1/2024 6:33,77W,PHBVV,FALSE,20,67320,54510
2024-01-03|KL|0601||AMS,KL,601,3/1/2024,AMS,LAX,174694,175429,133260,"255,030,986",4/1/2024 6:27,781,PHBKK,FALSE,10,63846,58577
2024-01-03|KL|0661||AMS,KL,661,3/1/2024,AMS,IAH,182861,184273,148099,"322,756,779",4/1/2024 6:27,772,PHBQI,FALSE,20,73303,65165
2024-01-03|KL|0835||AMS,KL,835,3/1/2024,AMS,SIN,190719,191372,148366,"27,439,963",4/1/2024 6:27,772,PHBQF,FALSE,20,93701,82894
2024-01-03|KL|0855||AMS,KL,855,3/1/2024,AMS,ICN,188479,190679,148479,"281,953,714",4/1/2024 6:27,772,PHBQN,FALSE,20,82813,76727
