ACType,TakeOffFuel,FuelIndex
789,320,0.032
789,640,0.06336
789,960,0.09456
789,1280,0.1248
789,1600,0.1552
789,1920,0.18432
789,2240,0.2128
789,2560,0.24192
789,2880,0.26928
789,3200,0.2976
789,3520,0.32384
789,3840,0.34944
789,4160,0.37648
789,4480,0.40096
789,4800,0.4272
789,5120,0.45056
789,5440,0.47328
789,5760,0.49824
789,6080,0.51984
789,6400,0.544
789,6720,0.5712
789,7040,0.60192
789,7360,0.63296
789,7680,0.66432
789,8000,0.696
789,8320,0.72384
789,8640,0.756
789,8960,0.78848
789,9280,0.82128
789,9600,0.8496
789,9920,0.88288
789,10240,0.91648
789,10560,0.9504
789,10880,0.98464
789,11200,1.0136
789,11520,1.04832
789,11840,1.08336
789,12160,1.11872
789,12480,1.14816
789,12800,1.184
789,13120,1.22016
789,13440,1.25664
789,13760,1.29344
789,14080,1.32352
789,14400,1.3608
789,14720,1.3984
789,15040,1.43632
789,15360,1.46688
789,15680,1.50528
789,16000,1.544
789,16320,1.61568
789,16640,1.68896
789,16960,1.76384
789,17280,1.84032
789,17600,1.9184
789,17920,1.99808
789,18240,2.07936
789,18560,2.16224
789,18880,2.24672
789,19200,2.3328
789,19520,2.42048
789,19840,2.50976
789,20160,2.60064
789,20480,2.69312
789,20800,2.7872
789,21120,2.88288
789,21440,2.98016
789,21760,3.06816
789,22080,3.16848
789,22400,3.2704
789,22720,3.37392
789,23040,3.50208
789,23360,3.65584
789,23680,3.81248
789,24000,3.972
789,24320,4.1344
789,24640,4.29968
789,24960,4.46784
789,25280,4.63888
789,25600,4.8128
789,25920,4.9896
789,26240,5.16928
789,26560,5.36512
789,26880,5.55072
789,27200,5.7528
789,27520,5.9856
789,27840,6.22224
789,28160,6.44864
789,28480,6.6928
789,28800,6.9408
789,29120,7.19264
789,29440,7.44832
789,29760,7.70784
789,30080,7.9712
789,30400,8.2688
789,30720,8.57088
789,31040,8.89296
789,31360,9.20416
789,31680,9.51984
789,32000,9.84
789,32320,10.1808
789,32640,10.54272
789,32960,10.90976
789,33280,11.28192
789,33432,11.46718
789,33752,11.3667
789,34072,11.26366
789,34392,11.15854
789,34712,11.05054
789,35032,10.93998
789,35352,10.82686
789,35672,10.71118
789,35992,10.59294
789,36312,10.47358
789,36632,10.35038
789,36952,10.22462
789,37272,10.0963
789,37592,9.965416
789,37912,9.834216
789,38232,9.698376
789,38552,9.559976
789,38872,9.419016
789,39192,9.275496
789,39512,9.129416
789,39832,8.983976
789,40152,8.832936
789,40472,8.679336
789,40792,8.523176
789,41112,8.364456
789,41432,8.203176
789,41752,8.043496
789,42072,7.877256
789,42392,7.708456
789,42712,7.537096
789,43032,7.382376
789,43352,7.236296
789,43672,7.089576
789,43992,6.942216
