ACType,LoadLocation,Overlapping,ProximityScore
789,11L,11P,2
789,11R,11P,2
789,11P,"11L,11R,12L,12R",2
789,12L,"11P,12P",1
789,12R,"11P,12P",1
789,12P,"12L,12R,13L,13R,14L,14R",1
789,13L,12P,1
789,13R,12P,1
789,13P,"14L,14R,15L,15R",2
789,14L,"12P,13P",1
789,14R,"12P,13P",1
789,15L,13P,2
789,15R,13P,2
789,21L,21P,3
789,21R,21P,3
789,21P,"21L,21R,22L,22R",3
789,22L,"21P,22P",3
789,22R,"21P,22P",3
789,22P,"22L,22R,23L,23R,24L,24R",4
789,23L,22P,4
789,23R,22P,4
789,23P,"24L,24R,25L,25R",4
789,24L,"22P,23P",4
789,24R,"22P,23P",4
789,25L,23P,4
789,25R,23P,4
789,31L,31P,4
789,31R,31P,4
789,31P,"31L,31R,32L,32R",4
789,32L,"31P,32P",3
789,32R,"31P,32P",3
789,32P,"32L,32R,33L,33R",3
789,33L,"32P,33P",3
789,33R,"32P,33P",3
789,33P,"33L,33R,34L,34R",2
789,34L,33P,2
789,34R,33P,2
789,41L,41P,1
789,41R,41P,1
789,41P,"41L,41R,42L,42R",1
789,42L,41P,1
789,42R,41P,1
789,42P,"43L,43R,44L,44R",2
789,43L,42P,1
789,43R,42P,1
789,44L,42P,2
789,44R,42P,2
772,11L,11P,2
772,11R,11P,2
772,11P,"11L,11R",2
772,12L,12P,1
772,12R,12P,1
772,12P,"12L,12R,13L,13R",1
772,13L,"12P,13P",1
772,13R,"12P,13P",1
772,13P,"13L,13R,14L,14R",1
772,14L,13P,1
772,14R,13P,1
772,21L,21P,2
772,21R,21P,2
772,21P,"21L,21R,22L,22R",2
772,22L,"21P,22P",3
772,22R,"21P,22P",3
772,22P,"22L,22R,23L,23R,24L,24R",3
772,23L,22P,3
772,23R,22P,3
772,23P,"24L,24R,25L,25R",4
772,24L,"22P,23P",4
772,24R,"22P,23P",4
772,25L,23P,4
772,25R,23P,4
772,31L,31P,4
772,31R,31P,4
772,31P,"31L,31R,32L,32R",3
772,32L,"31P,32P",3
772,32R,"31P,32P",3
772,32P,"32L,32R,33L,33R",2
772,33L,32P,3
772,33R,32P,3
772,41L,32P,2
772,41R,32P,2
772,41P,"42L,42R,43L,43R",1
772,42L,41P,1
772,42R,41P,1
772,42P,"43L,43R,44L,44R",2
772,43L,"41P,42P",1
772,43R,"41P,42P",1
772,44L,42P,2
772,44R,42P,2
781,11L,11P,2
781,11R,11P,2
781,11P,"11L,11R,12L,12R",2
781,12L,"11P,12P",1
781,12R,"11P,12P",1
781,12P,"12L,12R,13L,13R",1
781,13L,12P,1
781,13R,12P,1
781,13P,"14L,14R,15L,15R",2
781,14L,13P,2
781,14R,13P,2
781,15L,"13P,21P",3
781,15R,"13P,21P",3
781,21L,21P,3
781,21R,21P,3
781,21P,"15L,15R,21L,21R,22L,22R",3
781,22L,"21P,22P",3
781,22R,"21P,22P",3
781,22P,"22L,22R,23L,23R",3
781,23L,22P,4
781,23R,22P,4
781,23P,"24L,24R,25L,25R",4
781,24L,23P,4
781,24R,23P,4
781,24P,"25L,25R,26L,26R",4
781,25L,"23P,24P",4
781,25R,"23P,24P",4
781,26L,24P,4
781,26R,24P,4
781,31L,31P,4
781,31R,31P,4
781,31P,"31L,31R,32L,32R",4
781,32L,"31P,32P",4
781,32R,"31P,32P",4
781,32P,"32L,32R,33L,33R",3
781,33L,32P,3
781,33R,32P,3
781,33P,"34L,34R,41L,41R",2
781,34L,33P,2
781,34R,33P,2
781,41L,"33P,41P",1
781,41R,"33P,41P",1
781,41P,"41L,41R,42L,42R",1
781,42L,41P,1
781,42R,41P,1
781,42P,"43L,43R,44L,44R",2
781,43L,42P,1
781,43R,42P,1
781,43P,"44L,44R,45L,45R",3
781,44L,"42P,43P",2
781,44R,"42P,43P",2
781,45L,43P,3
781,45R,43P,3
77W,11L,11P,2
77W,11R,11P,2
77W,11P,"11L,11R",2
77W,12L,12P,1
77W,12R,12P,1
77W,12P,"12L,12R,13L,13R",1
77W,13L,"12P,13P",1
77W,13R,"12P,13P",1
77W,13P,"13L,13R,14L,14R",1
77W,14L,13P,2
77W,14R,13P,2
77W,21L,21P,3
77W,21R,21P,3
77W,21P,"21L,21R,22L,22R",2
77W,22L,"21P,22P",3
77W,22R,"21P,22P",3
77W,22P,"22L,22R,23L,23R,24L,24R",3
77W,23L,22P,3
77W,23R,22P,3
77W,23P,"24L,24R,25L,25R",3
77W,24L,"22P,23P",4
77W,24R,"22P,23P",4
77W,24P,"25L,25R,26L,26R,27L,27R",4
77W,25L,"23P,24P",4
77W,25R,"23P,24P",4
77W,25P,"27L,27R,28L,28R",4
77W,26L,24P,4
77W,26R,24P,4
77W,27L,"24P,25P",4
77W,27R,"24P,25P",4
77W,28L,25P,4
77W,28R,25P,4
77W,31L,31P,4
77W,31R,31P,4
77W,31P,"31L,31R,32L,32R",4
77W,32L,"31P,32P",4
77W,32R,"31P,32P",4
77W,32P,"32L,32R,33L,33R,34L,34R",4
77W,33L,32P,4
77W,33R,32P,4
77W,33P,"34L,34R,35L,35R",3
