ACType,MaxZeroFuelWeight,MaxTakeOffWeight,MaxLandingWeight,MaxWeightC1,MaxWeightC2,MaxWeightC3,MaxWeightC4,MaxWeightC1C2,MaxWeightC3C4,DOIIndex,C,K,ReferenceArm,LEMAC,MACFormula,DeltaIndexCargoC1,DeltaIndexCargoC2,DeltaIndexCargoC3,DeltaIndexCargoC4,DeltaIndexCargoC5,DeltaIndexPax0A,DeltaIndexPax0B,DeltaIndexPax0C,DeltaIndexPax0D,DeltaIndexPax0E,DeltaIndexPax0F,DeltaIndexPax0G,TOWWeightFwd,TOWIndexFwd,TOWWeightAft,TOWIndexAft,ZFWWeightFwd,ZFWIndexFwd,ZFWWeightAft,ZFWIndexAft,LWWeightFwd,LWIndexFwd,LWWeightAft,LWIndexAft
789,181436,252650,192776,16866,15139,14700,10955,32005,25655,46.6,200000,50,1199.2,1149.8,246.9,-0.00349,-0.00194,0.00179,0.00303,0.00381,-0.00309,-0.00096,0.00025,0.00206,0.00318,0,0,110677,46.14,110677,50.95,110677,46.15,110677,50.94,110677,41.6,110677,55
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,243805,26.41,155763,72.3,181436,35.66,155763,71.89,192776,29.4,155763,76.4
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,247343,28.02,172365,80.13,,,181436,77.93,,,192776,84.4
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,252650,57.22,219000,90.15,,,,,,,,
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225208,87.29,,,,,,,,
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249339,76.18,,,,,,,,
789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252650,60.77,,,,,,,,
772,200487,297556,213188,15770,18165,15854,10620,30617,22226,31.7,200000,50,1258,1174.5,278.5,-0.0035,-0.00204,0.00138,0.00245,0.00353,-0.00314,-0.00113,0.00015,0.002,0.00303,0,0,130000,37.8720437,130000,51.258533,130000,25.5336615,130000,60.701833,130000,30.9984615,130000,66.464633
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,208652,20.2953411,213868,78.3356666,195044,11.0581193,200487,75.9608954,208652,13.4944589,213188,82.7029306
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,213188,19.86628288,256279,86.8555938,200487,21.01390555,,,213188,13.00600068,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,263990,16.13210893,291206,66.91005677,,,,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,293156,29.32743727,297556,43.11952295,,,,,,,,
772,,,,,,,,,,,,,,,,,,,,,,,,,,,,297556,31.25706065,,,,,,,,,,
781,192776,254011,201848,18563,23036,15905,17676,36967,30617,37.7,200000,45,1319.2,1269.8,246.9,-0.00402,-0.00222,0.00172,0.00319,0.00429,-0.00353,-0.00113,0.00017,0.00214,0.00349,0,0,116982,37.92816996,116982,43.25612596,116982,37.92816996,116982,43.25612596,116982,33.85676643,116982,47.80109277
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,225435,17.83454039,172365,71.45746953,187039,24.98202991,172365,71.45746953,195139,19.37633982,172365,76.00243634
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,247117,19.30859469,179169,75.30654034,192776,57.41518466,179169,75.30654034,201848,59.14493733,201848,83.09685692
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,252744,52.94591293,229563,88.05483651,,,192776,78.74873715,,,,
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247570,79.77385538,,,,,,,,
781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252744,52.94591293,,,,,,,,
77W,237682,351534,251290,15703,26770,21370,12545,40823,31751,46.7,200000,67,1258,1174.5,278.5,-0.00455,-0.0026,0.00193,0.00357,0.00448,-0.00417,-0.00215,-0.00125,0.00029,0.00139,0.00303,0.00403,130000,42.483475,130000,51.617125,130000,35.116475,130000,55.742125,130000,35.116475,130000,55.742125
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,204116,20.28053475,133790,53.503796,195044,11.91353475,133790,57.628796,204116,12.91353475,133790,57.628796
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,237682,19.50144443,180000,78.096,237682,11.13444443,158031,70.38329262,237682,12.53444443,158031,70.38329262
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,251290,19.30897737,260000,107.448,,,224029,105.0518608,251290,11.34197737,224029,105.0518608
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,325996,19.49648222,304814,116.1960928,,,237682,107.7169264,,,251290,110.373208
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,345455,27.09034108,343414,92.5167771,,,,,,,,
77W,,,,,,,,,,,,,,,,,,,,,,,,,,,,351534,44.49174257,351534,45.14938384,,,,,,,,
