Airline,FlightNumber,LocalDepartureDate,AircraftType,DepartureAirport,SegmentArrivalAirport,CenterOfGravityCabin,PassengerCount
KL,661,4/1/2024,789,AMS,IAH,CABIN0B,37
KL,661,11/1/2024,789,AMS,IAH,CABIN0E,60
KL,661,1/2/2024,789,AMS,IAH,CABIN0B,15
KL,661,17-2-2024,789,AMS,IAH,CABIN0E,60
KL,661,10/3/2024,789,AMS,IAH,CABIN0E,62
KL,661,1/3/2024,789,AMS,IAH,CABIN0C,46
KL,605,8/2/2024,789,AMS,SFO,CABIN0C,37
KL,661,2/1/2024,789,AMS,IAH,CABIN0D,72
KL,661,11/2/2024,789,AMS,IAH,CABIN0E,43
KL,661,22-2-2024,789,AMS,IAH,CABIN0C,8
KL,879,21-1-2024,789,AMS,BLR,CABIN0A,27
KL,879,25-3-2024,789,AMS,BLR,CABIN0C,25
KL,661,30-1-2024,789,AMS,IAH,CABIN0E,33
KL,661,12/2/2024,789,AMS,IAH,CABIN0B,24
KL,879,7/1/2024,789,AMS,BLR,CABIN0C,60
KL,661,23-2-2024,789,AMS,IAH,CABIN0E,32
KL,601,23-2-2024,789,AMS,LAX,CABIN0D,64
KL,601,23-2-2024,789,AMS,LAX,CABIN0A,30
KL,661,5/2/2024,789,AMS,IAH,CABIN0E,27
KL,879,17-3-2024,789,AMS,BLR,CABIN0E,58
KL,661,23-1-2024,789,AMS,IAH,CABIN0E,57
KL,661,6/2/2024,789,AMS,IAH,CABIN0C,28
KL,661,1/3/2024,789,AMS,IAH,CABIN0D,70
KL,661,3/3/2024,789,AMS,IAH,CABIN0B,38
KL,879,22-1-2024,789,AMS,BLR,CABIN0C,52
KL,879,4/3/2024,789,AMS,BLR,CABIN0A,30
KL,661,22-1-2024,789,AMS,IAH,CABIN0B,27
KL,879,19-2-2024,789,AMS,BLR,CABIN0A,30
KL,661,4/1/2024,789,AMS,IAH,CABIN0C,63
KL,661,9/1/2024,789,AMS,IAH,CABIN0C,69
KL,661,24-1-2024,789,AMS,IAH,CABIN0A,25
KL,879,26-2-2024,789,AMS,BLR,CABIN0E,10
KL,605,2/1/2024,789,AMS,SFO,CABIN0E,61
KL,661,7/1/2024,789,AMS,IAH,CABIN0A,30
KL,661,15-1-2024,789,AMS,IAH,CABIN0D,69
KL,661,16-1-2024,789,AMS,IAH,CABIN0D,64
KL,879,8/1/2024,789,AMS,BLR,CABIN0D,71
KL,879,8/1/2024,789,AMS,BLR,CABIN0C,61
KL,879,25-3-2024,789,AMS,BLR,CABIN0B,23
KL,605,8/2/2024,789,AMS,SFO,CABIN0B,29
KL,661,14-3-2024,789,AMS,IAH,CABIN0B,30
KL,661,12/2/2024,789,AMS,IAH,CABIN0A,27
KL,661,17-2-2024,789,AMS,IAH,CABIN0A,30
KL,661,23-2-2024,789,AMS,IAH,CABIN0B,30
KL,661,15-3-2024,789,AMS,IAH,CABIN0E,60
KL,879,7/1/2024,789,AMS,BLR,CABIN0E,60
KL,879,18-2-2024,789,AMS,BLR,CABIN0E,61
KL,879,3/3/2024,789,AMS,BLR,CABIN0D,72
KL,879,3/3/2024,789,AMS,BLR,CABIN0B,37
KL,661,11/1/2024,789,AMS,IAH,CABIN0A,30
KL,661,15-2-2024,789,AMS,IAH,CABIN0C,16
KL,661,4/3/2024,789,AMS,IAH,CABIN0C,41
KL,661,10/3/2024,789,AMS,IAH,CABIN0A,30
KL,879,19-2-2024,789,AMS,BLR,CABIN0B,32
KL,661,15-1-2024,789,AMS,IAH,CABIN0C,68
KL,661,6/2/2024,789,AMS,IAH,CABIN0E,28
KL,879,21-1-2024,789,AMS,BLR,CABIN0C,65
KL,605,2/2/2024,789,AMS,SFO,CABIN0D,71
KL,661,21-1-2024,789,AMS,IAH,CABIN0A,30
KL,661,31-1-2024,789,AMS,IAH,CABIN0A,29
KL,661,1/3/2024,789,AMS,IAH,CABIN0A,32
KL,879,4/2/2024,789,AMS,BLR,CABIN0E,55
KL,661,4/3/2024,789,AMS,IAH,CABIN0D,67
KL,661,4/3/2024,789,AMS,IAH,CABIN0A,30
KL,661,4/1/2024,789,AMS,IAH,CABIN0E,62
KL,661,1/2/2024,789,AMS,IAH,CABIN0E,44
KL,879,18-2-2024,789,AMS,BLR,JUMPSEAT,1
KL,605,8/2/2024,789,AMS,SFO,CABIN0E,57
KL,661,16-2-2024,789,AMS,IAH,CABIN0B,31
KL,661,21-2-2024,789,AMS,IAH,CABIN0C,37
KL,879,29-1-2024,789,AMS,BLR,CABIN0C,55
KL,661,19-1-2024,789,AMS,IAH,CABIN0A,30
KL,661,5/3/2024,789,AMS,IAH,CABIN0B,21
KL,661,11/1/2024,789,AMS,IAH,CABIN0D,70
KL,661,17-1-2024,789,AMS,IAH,CABIN0C,40
KL,661,30-1-2024,789,AMS,IAH,CABIN0B,18
KL,661,2/2/2024,789,AMS,IAH,CABIN0A,30
KL,661,15-2-2024,789,AMS,IAH,CABIN0B,24
KL,879,15-1-2024,789,AMS,BLR,CABIN0A,30
KL,661,21-2-2024,789,AMS,IAH,CABIN0A,30
KL,879,25-2-2024,789,AMS,BLR,CABIN0A,30
KL,661,21-1-2024,789,AMS,IAH,CABIN0E,58
KL,661,10/3/2024,789,AMS,IAH,CABIN0C,67
KL,879,18-3-2024,789,AMS,BLR,CABIN0C,23
KL,661,26-1-2024,789,AMS,IAH,CABIN0D,62
KL,661,14-3-2024,789,AMS,IAH,CABIN0A,29
KL,661,8/1/2024,789,AMS,IAH,CABIN0B,38
KL,661,3/2/2024,789,AMS,IAH,CABIN0A,30
KL,661,6/3/2024,789,AMS,IAH,CABIN0E,49
KL,879,14-1-2024,789,AMS,BLR,CABIN0D,69
KL,661,20-1-2024,789,AMS,IAH,CABIN0E,57
KL,661,9/2/2024,789,AMS,IAH,CABIN0B,30
KL,879,24-3-2024,789,AMS,BLR,CABIN0D,72
KL,661,14-1-2024,789,AMS,IAH,CABIN0C,62
KL,661,2/3/2024,789,AMS,IAH,CABIN0A,30
KL,879,28-1-2024,789,AMS,BLR,CABIN0B,39
KL,879,24-3-2024,789,AMS,BLR,CABIN0E,61
KL,661,15-1-2024,789,AMS,IAH,CABIN0B,39
KL,661,18-1-2024,789,AMS,IAH,CABIN0E,41
KL,879,4/3/2024,789,AMS,BLR,CABIN0C,27
KL,879,25-3-2024,789,AMS,BLR,CABIN0D,58
KL,661,14-2-2024,789,AMS,IAH,CABIN0D,58
KL,661,19-2-2024,789,AMS,IAH,CABIN0A,29
KL,661,22-2-2024,789,AMS,IAH,CABIN0B,22
KL,661,4/1/2024,789,AMS,IAH,CABIN0D,68
KL,661,9/2/2024,789,AMS,IAH,CABIN0C,30
KL,879,26-2-2024,789,AMS,BLR,CABIN0D,48
KL,661,15-3-2024,789,AMS,IAH,CABIN0B,39
KL,879,18-2-2024,789,AMS,BLR,CABIN0B,39
KL,879,4/2/2024,789,AMS,BLR,CABIN0B,36
KL,661,16-1-2024,789,AMS,IAH,CABIN0A,28
KL,661,14-2-2024,789,AMS,IAH,CABIN0C,16
KL,661,1/2/2024,789,AMS,IAH,CABIN0C,26
KL,661,9/1/2024,789,AMS,IAH,CABIN0B,37
KL,661,17-1-2024,789,AMS,IAH,CABIN0E,53
KL,661,5/3/2024,789,AMS,IAH,CABIN0C,18
KL,661,15-3-2024,789,AMS,IAH,CABIN0D,72
KL,879,7/1/2024,789,AMS,BLR,CABIN0B,35
KL,879,28-1-2024,789,AMS,BLR,CABIN0D,72
KL,879,18-2-2024,789,AMS,BLR,CABIN0D,72
KL,661,3/3/2024,789,AMS,IAH,CABIN0A,30
KL,661,13-3-2024,789,AMS,IAH,CABIN0E,60
KL,879,29-1-2024,789,AMS,BLR,CABIN0D,71
KL,879,4/2/2024,789,AMS,BLR,CABIN0D,71
KL,879,17-3-2024,789,AMS,BLR,CABIN0A,30
KL,661,7/1/2024,789,AMS,IAH,JUMPSEAT,1
KL,661,6/2/2024,789,AMS,IAH,CABIN0B,27
KL,661,24-1-2024,789,AMS,IAH,CABIN0E,51
KL,879,11/3/2024,789,AMS,BLR,CABIN0C,44
KL,661,4/3/2024,789,AMS,IAH,CABIN0E,55
KL,661,20-3-2024,789,AMS,IAH,CABIN0A,29
KL,879,3/3/2024,789,AMS,BLR,CABIN0A,29
