flight_number,origin,destination,date,route,flight_path,data_files_present,data_files_missing,total_items,total_weight,total_volume,col_items,crt_items,aircraft_type,passenger_count,uld_count,analysis_errors,is_complete
KL0879,AMS,BLR,04 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 04 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],74,0,0,0,0,789,5,30,[],True
KL0879,AMS,BLR,05 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 05 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],36,0,0,0,0,789,5,33,[],True
KL0879,AMS,BLR,26 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 26 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],51,0,0,0,0,789,5,28,[],True
KL0879,AMS,BLR,19 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 19 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],69,0,0,0,0,789,5,35,[],True
KL0879,AMS,BLR,18 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 18 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],46,0,0,0,0,789,6,37,[],True
KL0879,AMS,BLR,12 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 12 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],59,0,0,0,0,789,5,29,[],True
KL0879,AMS,BLR,14 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 14 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],40,0,0,0,0,772,5,31,[],True
KL0879,AMS,BLR,09 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 09 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],43,0,0,0,0,772,5,35,[],True
KL0879,AMS,BLR,03 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 03 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],63,0,0,0,0,772,5,32,[],True
KL0879,AMS,BLR,02 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 02 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],15,0,0,0,0,781,5,28,[],True
KL0879,AMS,BLR,10 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 10 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],27,0,0,0,0,772,5,28,[],True
KL0879,AMS,BLR,11 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 11 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],9,0,0,0,0,789,5,32,[],True
KL0879,AMS,BLR,24 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 24 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],68,0,0,0,0,772,5,30,[],True
KL0879,AMS,BLR,25 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 25 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],39,0,0,0,0,789,5,25,[],True
KL0879,AMS,BLR,07 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 07 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],29,0,0,0,0,781,5,34,[],True
KL0879,AMS,BLR,28 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 28 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],60,0,0,0,0,772,5,24,[],True
KL0879,AMS,BLR,17 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 17 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],61,0,0,0,0,772,5,28,[],True
KL0879,AMS,BLR,16 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 16 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],78,0,0,0,0,772,5,27,[],True
KL0879,AMS,BLR,23 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 23 FEB 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],59,0,0,0,0,772,5,26,[],True
KL0871,AMS,DEL,01 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 01 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],67,0,0,0,0,772,5,39,[],True
KL0871,AMS,DEL,17 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 17 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],55,0,0,0,0,781,5,39,[],True
KL0871,AMS,DEL,16 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 16 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],43,0,0,0,0,77W,7,39,[],True
KL0871,AMS,DEL,29 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 29 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],41,0,0,0,0,77W,7,56,[],True
KL0871,AMS,DEL,28 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 28 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],65,0,0,0,0,77W,7,47,[],True
KL0871,AMS,DEL,23 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 23 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],36,0,0,0,0,77W,7,51,[],True
KL0871,AMS,DEL,22 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 22 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],88,0,0,0,0,77W,7,140,[],True
KL0871,AMS,DEL,10 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 10 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],57,0,0,0,0,781,5,40,[],True
KL0871,AMS,DEL,11 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 11 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],74,0,0,0,0,77W,7,46,[],True
KL0871,AMS,DEL,24 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 24 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],38,0,0,0,0,781,5,37,[],True
KL0871,AMS,DEL,25 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 25 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],63,0,0,0,0,77W,7,61,[],True
KL0871,AMS,DEL,07 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 07 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],58,0,0,0,0,781,5,41,[],True
KL0871,AMS,DEL,06 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 06 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],25,0,0,0,0,77W,7,52,[],True
KL0871,AMS,DEL,20 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 20 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],61,0,0,0,0,77W,7,59,[],True
KL0871,AMS,DEL,21 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 21 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],36,0,0,0,0,781,5,44,[],True
KL0871,AMS,DEL,14 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 14 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],29,0,0,0,0,781,5,41,[],True
KL0871,AMS,DEL,15 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 15 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],24,0,0,0,0,772,5,41,[],True
KL0871,AMS,DEL,09 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 09 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],65,0,0,0,0,77W,7,50,[],True
KL0871,AMS,DEL,08 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 08 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],50,0,0,0,0,772,5,40,[],True
KL0871,AMS,DEL,03 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 03 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],73,0,0,0,0,781,5,89,[],True
KL0871,AMS,DEL,02 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 02 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],87,0,0,0,0,77W,7,43,[],True
KL0871,AMS,DEL,30 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 30 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],41,0,0,0,0,77W,7,43,[],True
KL0871,AMS,DEL,31 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 31 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],35,0,0,0,0,781,5,105,[],True
KL0871,AMS,DEL,04 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 04 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],88,0,0,0,0,77W,7,49,[],True
KL0871,AMS,DEL,05 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 05 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],74,0,0,0,0,77W,7,40,[],True
KL0871,AMS,DEL,19 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 19 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],23,0,0,0,0,77W,7,27,[],True
KL0871,AMS,DEL,18 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 18 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],60,0,0,0,0,77W,7,39,[],True
KL0871,AMS,DEL,27 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 27 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],54,0,0,0,0,77W,7,47,[],True
KL0871,AMS,DEL,26 MAR 2024,AMSDEL,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSDEL MAR 2024/Flight KL0871 AMSDEL 26 MAR 2024,"['BuildUpInformation.csv', 'FlightInformation.csv', 'LoadLocations.csv', 'PaxInformation.csv', 'PieceInformation.csv']",[],36,0,0,0,0,77W,7,41,[],True
