flight_number,origin,destination,date,route,flight_path,missing_files,is_complete,missing_count
KL0879,AMS,BLR,04 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 04 FEB 2024,[],True,0
KL0879,AMS,BLR,05 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 05 FEB 2024,[],True,0
KL0879,AMS,BLR,26 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 26 FEB 2024,[],True,0
KL0879,AMS,BLR,19 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 19 FEB 2024,[],True,0
KL0879,AMS,BLR,18 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 18 FEB 2024,[],True,0
KL0879,AMS,BLR,12 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 12 FEB 2024,[],True,0
KL0879,AMS,BLR,14 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 14 FEB 2024,[],True,0
KL0879,AMS,BLR,09 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 09 FEB 2024,[],True,0
KL0879,AMS,BLR,03 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 03 FEB 2024,[],True,0
KL0879,AMS,BLR,02 FEB 2024,AMSBLR,/Users/emivenezian/Desktop/universidad/ingeniera/años/cuarto/Segundo Semestre/AviationOptimization/KLM_Projects/KLM_Original/Data/Flights AMSBLR FEB 2024/Flight KL0879 AMSBLR 02 FEB 2024,[],True,0
