month,route,flight_count
FEB 2024,AMSBLR,19
FEB 2024,AMSIAH,21
FEB 2024,AMSSIN,29
FEB 2024,AMSDEL,28
FEB 2024,AMSSFO,20
FEB 2024,AMSICN,25
FEB 2024,AMSLAX,27
MAR 2024,AMSDEL,31
MAR 2024,AMSBLR,21
MAR 2024,AMSIAH,23
MAR 2024,AMSSIN,29
MAR 2024,AMSICN,26
MAR 2024,AMSLAX,31
MAR 2024,AMSSFO,22
JAN 2024,AMSSIN,31
JAN 2024,AMSIAH,23
JAN 2024,AMSBLR,21
JAN 2024,AMSDEL,31
JAN 2024,AMSSFO,20
JAN 2024,AMSLAX,29
JAN 2024,AMSICN,12
APR 2024,AMSSFO,1
APR 2024,AMSICN,1
APR 2024,AMSLAX,2
APR 2024,AMSSIN,1
APR 2024,AMSDEL,1
